old_spec	disposition	primary_target	confidence	evidence	note
festival-orb-effects	SPLIT	components/infrastructure/ui/global/dna-orb	high	14/17 requirements describe dna-orb rendering/effects behavior; 3 are unit-test-coverage requirements with no user actor	n/a (discarded; unit-test-coverage requirements have no openspec destination)
user-home	SPLIT	components/infrastructure/ui/global/user-home-selector	medium	splits across the User entity, three UserService usecases (create/update-home/get), a cross-route home-persistence story, and the user-home-selector component (2 reqs, most common target)	
pwa-install-banner	KEEP	components/infrastructure/ui/global/pwa-install-banner	high	all 8 requirements describe the pwa-install-banner component's visibility, CTA, dismiss, and accessibility behavior	
http-retry	NEEDS_HUMAN		low	backend HTTP client retry/backoff policy; no user actor for 7/8 requirements (OUT:design-doc/runbook); the auth-token-refresh interceptor requirement is user-visible but has no matching vocabulary target	backend/pkg/api retry policy and diagnostic capture; OUT rows have no openspec destination (design-doc/runbook, discard)
auto-discovery-series-grouping	SPLIT	components/usecase/concert/create-from-discovered	high	7 requirements govern ConcertCreationUseCase.CreateFromDiscovered grouping/dedup logic; 1 governs AdminConcertUseCase.Approve preserving series identity	
prompt-timing	SPLIT	components/infrastructure/ui/global/notification-prompt	medium	governs eligibility/priority of two global prompts: notification-prompt (6 reqs) and pwa-install-banner (2 reqs)	
argocd-gateway-deployment	OUT:delete		high	no user actor; ArgoCD Application deployment topology (5 reqs) plus pod-cost overlay mechanics (2 reqs) and operator status/rollback procedures (2 reqs)	cloud-provisioning/k8s (ArgoCD deploy topology and pod-cost overlay mechanics, discard from openspec)
bubble-pool-lifecycle	SPLIT	components/infrastructure/ui/route/discovery	high	4 requirements describe Discovery-page bubble pool UX; 1 governs the ListSimilar/ListTop RPC limit parameter shared by ArtistService	
cube-css-structural-rules	OUT:lint		high	stylelint rule definitions for the CUBE CSS block layer; no user actor	frontend/.stylelint-plugin (lint rule config, discard from openspec)
legal-documents	SPLIT	components/infrastructure/ui/route/legal	high	routing/auth/localization structure targets route/legal (4 reqs); document content requirements (Privacy Policy, ToS, OSS Licenses disclosures) target the shared legal-document component (3 reqs)	
typography-focused-dashboard	KEEP	components/infrastructure/ui/global/live-highway	high	single requirement describing the three-lane Live Highway layout maps directly to the live-highway component	
component-smoke-tests	OUT:delete		high	Aurelia component mount, DI mock registry, and E2E console-error smoke-test mechanics; no user actor	frontend/test-plans (test/CI inventory, discard from openspec)
connect-rpc-cors	OUT:design-doc		high	backend Connect-RPC CORS middleware configuration; no user actor	backend/internal/... CORS middleware config (discard from openspec)
email-provider	OUT:design-doc		high	Postmark/Zitadel SMTP provisioning, DNS/DKIM infra, and credential separation; no user actor	cloud-provisioning/src/zitadel (SMTP infra provisioning, discard from openspec)
consumer-poison-queue-alerting	OUT:runbook		high	NATS poison-queue consumer logging and Cloud Monitoring alert policy; no user actor	backend ops runbook / cloud-provisioning alert policy (discard from openspec)
beam-effect-toggle	KEEP	components/infrastructure/ui/global/fab-menu	medium	single requirement: beam toggle contributed to the FAB action launcher panel (vocabulary name: fab-menu)	
frontend-performance-instrumentation	OUT:runbook		high	PostHog performance telemetry (long animation frames, Core Web Vitals, slow interactions); telemetry is explicitly OUT per the cross-cutting tie-break rule	frontend observability telemetry (discard from openspec)
intel	NEEDS_HUMAN		low	crawling/extraction capability likely underlies ConcertUseCase.SearchNewConcerts but the intel CLI's relationship to that RPC is unconfirmed from this spec alone	
