old_spec	old_req_name	disposition	target_path	new_req_name	merge_group	rewrite_flags	confidence	rationale
billing-export-infrastructure	BigQuery dataset for GCP Billing Export	OUT:design-doc					high	no user actor: Pulumi-managed BigQuery dataset provisioning for billing export
billing-export-infrastructure	IAM binding for billing export service account	OUT:design-doc					high	no user actor: IAM role binding for GCP billing export service account
billing-export-infrastructure	Runbook documents the Console step to enable billing export	OUT:runbook					high	no user actor: operator Console-side runbook for enabling billing export
billing-export-infrastructure	Detailed usage cost export is preferred over Standard-only	OUT:design-doc					high	no user actor: cost-export granularity technology decision
billing-export-infrastructure	Sample analysis SQL is provided	OUT:runbook					high	no user actor: example SQL shipped in runbook/repo docs for cost investigation
css-linting	Stylelint enforces modern color functions	OUT:lint					high	no user actor: Stylelint function-disallowed-list/color-no-hex rule
css-linting	Stylelint enforces CSS Logical Properties	OUT:lint					high	no user actor: Stylelint property-disallowed-list rule for physical properties
css-linting	Stylelint enforces Container Queries over viewport-width media queries	OUT:lint					high	no user actor: Stylelint media-feature-name-disallowed-list rule
css-linting	Stylelint prevents CSS anti-patterns	OUT:lint					high	no user actor: Stylelint anti-pattern rules (z-index, !important, float, selectors)
css-linting	Stylelint enforces property declaration ordering	OUT:lint					high	no user actor: Stylelint property ordering rule with --fix
css-linting	Stylelint compatible with modern CSS at-rules	OUT:lint					high	no user actor: Stylelint at-rule allowlist configuration
css-linting	Stylelint enforces stacking context management	OUT:lint					high	no user actor: Stylelint z-index prohibition / DOM-structure convention
css-linting	Stylelint enforces accessibility media queries	OUT:lint					high	no user actor: Stylelint accessibility media-feature allowlist
css-linting	Stylelint integrated into CI pipeline	OUT:lint					high	no user actor: make lint / make check wiring for Stylelint
design-system	Design Token Definition	OUT:design-doc					high	no user actor: design tokens explicitly excluded per spec's own Purpose statement
design-system	Display Font Loading	OUT:design-doc					high	no user actor: font preconnect/font-display loading technology decision
design-system	View Transitions as route animation system	OUT:design-doc					medium	no single vocabulary surface for the route-transition CSS mechanism; technology decision (::view-transition-old/new)
