old_spec	old_req_name	disposition	target_path	new_req_name	merge_group	rewrite_flags	confidence	rationale
analytics-consent	Analytics operates under an EU-adequacy opt-out model, not a consent gate	OUT:design-doc					medium	Telemetry/legal policy statement (PostHog identify() call, privacy-policy content) with no single UI surface; tie-break routes telemetry to OUT
analytics-consent	Settings exposes Analytics and Session-replay opt-out toggles	KEEP	components/infrastructure/ui/route/settings	Settings exposes Analytics and Session-replay opt-out toggles			high	Settings route renders the Analytics/Session-replay toggles the user controls
analytics-consent	Full non-PII catalogue is captured anonymously before identification	OUT:design-doc					medium	Anonymous PostHog capture policy; no user-observed UI surface - telemetry tie-break routes to OUT
analytics-consent	Anonymous behaviour is merged into the identified profile on login	OUT:design-doc					medium	posthog.identify() merge behavior is internal telemetry plumbing, not user-observed
analytics-consent	Sensitive personal information is structurally excluded; minor-user legality is deferred to legal review	OUT:design-doc					medium	Event-property allowlist/redaction is an engineering safeguard with no user-facing surface; also flags an open legal question, not a testable product behavior
analytics-consent	Analytics opt-out state is persisted and user-controllable from settings	KEEP	components/infrastructure/ui/route/settings	Analytics opt-out state is persisted and user-controllable from settings			high	Settings route is where the user toggles and observes opt-out state
artist-image-ui	Event Card Logo Display	NEEDS_HUMAN					low	EventCard is rendered across dashboard/welcome/discovery but vocabulary has no ui/global event-card surface entry
artist-image-ui	Event Detail Sheet Hero Image	NEEDS_HUMAN					low	EventDetailSheet has no vocabulary entry (only the generic bottom-sheet exists, which this specializes)
artist-image-ui	Fanart Data Propagation	NEEDS_HUMAN					low	Frontend service-layer mapping that feeds the (currently unmapped) event-card/detail-sheet surfaces above
concert-search-internals	Usecase layer SHALL NOT import infrastructure packages	OUT:lint					high	Go Clean-Architecture import-boundary rule for internal/usecase; no user actor
concert-search-internals	Search status marking SHALL use defer pattern	OUT:lint					high	Code-structure rule for executeSearch's defer usage; no user actor
concert-search-internals	Time-dependent tests SHALL use testing/synctest	OUT:lint					high	Test-methodology rule (Go testing/synctest); no user actor
concert-search-internals	resolveUserID SHALL NOT be duplicated	OUT:lint					high	DRY code-convention for a shared internal helper function; no user actor
concert-search-internals	Entity construction SHALL use domain methods	OUT:lint					high	Mandates ScrapedConcert.ToConcert() over inline field assignment; no user actor
follow-triggered-search	Trigger concert search on first follow	KEEP	components/usecase/follow/follow	Trigger concert search on first follow			high	FollowUseCase.Follow's side effect of launching SearchNewConcerts on first follow
follow-triggered-search	Search errors do not affect follow operation	KEEP	components/usecase/follow/follow	Search errors do not affect follow operation			high	Invariant of the Follow RPC response when the background search fails
follow-triggered-search	Search log check failure is non-blocking	KEEP	components/usecase/follow/follow	Search log check failure is non-blocking			high	Invariant of Follow's handling of searchLogRepo lookup errors
frontend-network-timeouts	Default RPC call timeout	NEEDS_HUMAN					low	Cross-app RPC transport deadline, not scoped to one route; vocabulary has no networking/transport infra kind
frontend-network-timeouts	RPC timeout value is runtime-configurable	NEEDS_HUMAN					low	Same shared-transport config surface as the default-timeout requirement above; no matching vocabulary target
frontend-network-timeouts	Service-Worker analytics capture is time-bounded	KEEP	components/infrastructure/service-worker/analytics-capture-timeout	Service-Worker analytics capture is time-bounded			high	Service Worker fetch() timeout; kind 'service-worker' exists in vocabulary
frontend-network-timeouts	Service-Worker VAPID key fetch is time-bounded	KEEP	components/infrastructure/service-worker/vapid-key-fetch-timeout	Service-Worker VAPID key fetch is time-bounded			high	Service Worker VAPID fetch() timeout during push-subscription renewal
