old_spec	disposition	primary_target	confidence	evidence	note
identity-management	NEEDS_HUMAN	components/infrastructure/locale/hosted-login-translation	low	Of 23 reqs: 18 are Pulumi/Zitadel IaC provisioning with no product actor (OUT:runbook); 3 (login policy, login branding, OIDC token lifetimes) are fan-observable but have no vocabulary route/component for the Zitadel-hosted login UI (NEEDS_HUMAN); 2 KEEP (SMTP activation -> infrastructure/email, login translation -> infrastructure/locale)	cloud-provisioning/docs/runbooks/zitadel-identity.md
app-error-log-alerting	OUT:runbook		high	All 14 reqs describe Cloud Monitoring alerting, notification routing, and internal error-handling/logging conventions for the on-call engineer; no fan/organizer/admin actor observes any of them (12 OUT:runbook, 2 OUT:lint)	cloud-provisioning/docs/runbooks/app-error-alerting.md
bottom-sheet-ce	KEEP	components/infrastructure/ui/global/bottom-sheet	high	The single requirement (28 scenarios) fully describes the bottom-sheet global CE, the single dialog primitive used across routes	
lottery-application	KEEP	components/usecase/lottery-application/run-draw	high	All 9 reqs describe the lottery capability's organizer-configuration route, fan-apply/withdraw/results usecases, the automated draw usecase (run-draw, most common KEEP target), and the TicketApplication entity's identity-binding invariant	
cube-css-token-enforcement	OUT:lint		high	All 6 reqs define the cube/require-token-variables stylelint rule's behavior and configuration; no user actor observes a lint rule	frontend/AGENTS.md or a stylelint-plugin-cube-css doc (design-token enforcement rule)
secret-management	OUT:runbook		high	All 8 reqs describe GCP Secret Manager provisioning, ESO/ClusterSecretStore wiring, and secret rotation for backend pods; no user actor	cloud-provisioning/docs/runbooks/secret-management.md
argocd-image-automation	OUT:delete		high	All 8 reqs describe ArgoCD Image Updater CI/deploy mechanics (polling, parameter overrides, rollback, failure retry) with no lasting product value once implemented	
edit-mode-unfollow	KEEP	components/infrastructure/ui/route/my-artists	high	All 3 reqs describe the My Artists route's Edit-mode toggle, per-row remove controls, their accessibility, and the optimistic unfollow/Undo UX	
deployment-infrastructure	OUT:runbook		high	All 10 reqs describe Pulumi Cloud Deployments OIDC/WIF setup, CD namespaces, and dev-overlay scheduling knobs; no user actor (7 OUT:runbook, 3 OUT:delete for CI-flow mechanics)	cloud-provisioning/docs/runbooks/pulumi-deployment.md
organizer-tenancy	NEEDS_HUMAN		low	4 of 5 reqs are Zitadel IaC scaffolding (project, apps, provisioner machine user, key lifecycle) with no directly observed organizer feature (OUT:runbook); 1 (passkey-primary login policy) is organizer-observable but has no vocabulary target for the Zitadel-hosted organizer login screen	cloud-provisioning/docs/runbooks/organizer-tenancy.md
admin-console-hosting	OUT:runbook		high	All 6 reqs describe hosting/deploy infrastructure (image, Service, hostname, config delivery, OIDC app, TLS/DNS, GitOps) for the admin console; ops-only, no distinguishable product behavior	cloud-provisioning/docs/runbooks/admin-console-hosting.md
certificate-manager-integration	OUT:runbook		high	All 6 reqs describe Google Certificate Manager TLS provisioning, DNS validation, and renewal for the Gateway; ops-only, no user actor	cloud-provisioning/docs/runbooks/certificate-manager.md
concert-highway-ce	KEEP	components/infrastructure/ui/global/live-highway	high	Both reqs describe the concert-highway CE (vocabulary target: live-highway), the shared 3-column lane grid and its per-frame beam-tracking performance	
e2e-auth-testing	OUT:runbook		high	All 5 reqs describe Playwright MCP session capture and storageState/credential hygiene for E2E test automation; developer-tooling, no product user actor	frontend/docs/runbooks/e2e-auth-testing.md
cloud-sql-connector	OUT:runbook		high	All 5 reqs describe backend database connectivity (Cloud SQL Connector vs local pgx, schema config, Auth Proxy) with no user actor	backend/docs/runbooks/cloud-sql-connector.md
backend-service-exposure	OUT:runbook		high	All 3 reqs describe K8s Service discoverability, protocol advertisement, and health-check wiring for the backend Service; ops-only	cloud-provisioning/docs/runbooks/backend-service-exposure.md
bubble-replenishment	KEEP	components/infrastructure/ui/route/discovery	high	The single requirement describes discovery-canvas bubble replenishment behavior on the discovery route	
event-card-glow	NEEDS_HUMAN		medium	The single requirement describes a real visual behavior of the (vocabulary-unmapped) event-card component; no ui/global vocabulary entry exists for event-card	
