old_spec	disposition	primary_target	confidence	evidence	note
argocd-deployment-alerts	OUT:runbook		high	all 5 requirements are ArgoCD Notifications-controller / Google Chat webhook alerting config; no fan/organizer actor	cloud-provisioning/docs/runbooks/argocd-deployment-alerts.md
artist-service-infrastructure	KEEP	components/entity/artist	medium	1 requirement targets entity/artist (Artist entity always/optionally carrying fanart data), 1 targets usecase/artist/search (multi-provider discovery); tied at 1 each, no single dominant target	
aurelia-template-optimization	OUT:lint		high	all 8 requirements are Aurelia 2 template/binding coding conventions (key.bind, switch.bind, show.bind, debounce/throttle, etc.); no user actor	frontend coding conventions doc (Aurelia 2 template/binding patterns)
authentication	SPLIT	stories/maintain-authenticated-session	medium	2 KEEP (frontend session-refresh/re-auth UX, both folded into one story) + 9 OUT (8 design-doc backend JWT/JWKS/middleware architecture cross-cutting like CORS, 1 runbook health-check probe access); no fan/organizer actor in the backend auth plumbing	backend/docs/design/authentication-middleware.md (JWT validation, JWKS caching, authn-go middleware, webhook JWT verification); health-check probe access is a K8s ops concern
auto-concert-discovery	SPLIT	components/usecase/concert/search-new-concerts	medium	2 KEEP (organizer-exclusion business rule + Gemini response resilience, both fold into ConcertUseCase.SearchNewConcerts) + 5 OUT (3 design-doc DI/NATS JetStream config, 2 runbook CronJob exit-code/circuit-breaker mechanics); no user actor in the job mechanics	cloud-provisioning/docs/runbooks/auto-concert-discovery-job.md (CronJob DI, exit semantics, circuit breaker); NATS consumer config -> backend/docs/design/jetstream-consumer.md
brand-vocabulary	SPLIT	components/infrastructure/locale/brand-vocabulary	medium	5 KEEP (user-facing vocabulary/copy governance: two-layer model, asymmetric labels, deprecated-term ban, brand-expression registry, hype-tier labels — all under locale infra) + 4 OUT:lint (i18n key-naming mechanics and CI lint-script enforcement, dev-facing only)	frontend/docs/conventions/i18n-key-naming.md (namespace-mirroring rule, locale-parity/entity-name lint checks, make-lint integration)
concert-service	SPLIT	components/usecase/concert/approve	medium	13 KEEP split across concert usecases (approve x2, search-new-concerts x2, list-by-artist x2, list-by-artists x1, list-by-follower-grouped x1, list-by-location x1) and entity invariants (event x2, concert x1, venue x1) — approve/search-new-concerts/list-by-artist/entity-event are tied at 2 requirements each; 1 OUT:design-doc (GKE Gateway timeoutSec) + 1 DROP:obsolete (completed one-time dedup migration)	GKE Gateway timeout req -> cloud-provisioning/docs/design/concert-service-gateway-timeout.md; the obsolete migration requirement has no destination (discard)
continuous-delivery	OUT:runbook		high	all 9 requirements are ArgoCD/GitOps CI-CD provisioning mechanics (manifests, root app, image build, WIF auth, migration sync wave); no fan/organizer actor	cloud-provisioning/docs/runbooks/continuous-delivery.md
css-state-management	OUT:lint		high	all 8 requirements are the TS/template/CSS three-layer coding convention described in the spec Purpose; no user actor	frontend coding conventions doc (CSS state-management three-layer contract)
cube-css-layer-enforcement	OUT:lint		high	both requirements define a stylelint custom rule (require-layer, layer-order); no user actor	frontend stylelint plugin config (already implemented; no separate doc)
frontend-route-guard	KEEP	stories/roam-app-as-guest	medium	all 3 requirements describe the global AuthHook's guest free-roam navigation behavior (dashboard/settings/welcome reachability), proposed as one story spanning all routes	
k8s-service-cross-namespace-routing	OUT:runbook		high	all 6 requirements are Kubernetes Service/Gateway networking config; no fan/organizer actor	cloud-provisioning/docs/runbooks/k8s-cross-namespace-routing.md
my-artists	KEEP	components/infrastructure/ui/route/my-artists	high	5 of 6 requirements describe the My Artists route (guest hype persistence, view toggle, grid view, help content, table headers); 1 (default hype tier for new follows) targets FollowUseCase.Follow	
official-site-search	KEEP	components/usecase/artist/create-official-site	high	both requirements describe ArtistUseCase.CreateOfficialSite (MusicBrainz URL resolution feeding async persistence triggered on follow)	
sales-reminders	KEEP	components/usecase/sales-phase/scan-due-reminders	high	4 of 6 requirements describe SalesReminderUseCase.ScanDueReminders (stage scan, audience, once-only dedup, quiet hours); 2 describe SalesReminderDeliveryUseCase.DeliverReminder (payload content, web push delivery)	
usecase-test-coverage	OUT:lint		high	all 8 requirements are backend unit-test coverage inventory per the spec Purpose; no user actor	backend test-coverage inventory (discard from openspec)
user-account-sync	KEEP	components/usecase/user/create	medium	its single requirement is the idempotent resolve-or-provision contract of UserUseCase.Create, bundled with frontend localStorage caching scenarios (SPLIT-CANDIDATE)	
