old_spec	old_req_name	disposition	target_path	new_req_name	merge_group	rewrite_flags	confidence	rationale
card-logo-presentation	Logo and text visibility on unmatched cards	KEEP	components/infrastructure/ui/global/live-highway	Logo and text visibility on unmatched cards			high	event-card rendering inside the shared live-highway timetable component
card-logo-presentation	Center-aligned card content	KEEP	components/infrastructure/ui/global/live-highway	Center-aligned card content			high	event-card layout inside the shared live-highway component
card-logo-presentation	Text fallback font size prominence	KEEP	components/infrastructure/ui/global/live-highway	Text fallback font size prominence			high	event-card text-fallback styling inside the shared live-highway component
card-logo-presentation	Logo scales to fill card space	KEEP	components/infrastructure/ui/global/live-highway	Logo scales to fill card space			high	ClearLOGO scaling inside the shared live-highway event card
concert-search	Search Concerts by Artist	KEEP	components/usecase/concert/search-new-concerts	Search Concerts by Artist			high	defines ConcertUseCase.SearchNewConcerts RPC contract and caching/freshness behavior
concert-search	Venue Administrative Area Extraction	KEEP	components/usecase/concert/search-new-concerts	Venue Administrative Area Extraction			medium	admin_area extraction is part of SearchNewConcerts' response data, not a separate entity invariant
concert-search	Resilient External Search	KEEP	components/usecase/concert/search-new-concerts	Resilient External Search			high	retry/timeout behavior of the SearchNewConcerts RPC's external API call
concert-search	Concert Deduplication Natural Key	KEEP	components/usecase/concert/search-new-concerts	Concert Deduplication Natural Key		CLASSNAME	medium	executeSearch's dedup key determines the result of SearchNewConcerts; tie-break: true-after-operation -> usecase
concert-search	Dedup Key Comparison for Existing Concerts	KEEP	components/usecase/concert/search-new-concerts	Dedup Key Comparison for Existing Concerts			medium	dedup lookup-set construction is internal to the SearchNewConcerts result computation
concert-search	Resilience to Gemini API Non-Determinism	KEEP	components/usecase/concert/search-new-concerts	Resilience to Gemini API Non-Determinism			medium	non-determinism handling governs what SearchNewConcerts ultimately persists/returns
concert-search	Dedup Tolerates Venue Name Drift	KEEP	components/usecase/concert/search-new-concerts	Dedup Tolerates Venue Name Drift			medium	venue-name normalization is part of the SearchNewConcerts dedup result
cube-css-modern-css-rules	`cube/prefer-vi-over-vw` recommends `vi` unit over `vw`	OUT:lint					high	stylelint custom rule; no user actor, pure CSS authoring convention
cube-css-modern-css-rules	`cube/require-container-name` enforces naming containers	OUT:lint					high	stylelint custom rule; no user actor
cube-css-modern-css-rules	`cube/prefer-color-mix` recommends `color-mix()` for derived colors	OUT:lint					high	stylelint custom rule; no user actor
dashboard-concert-cache	listByFollower results are cached in memory for the session	KEEP	components/infrastructure/ui/route/dashboard	listByFollower results are cached in memory for the session		CLASSNAME	high	in-memory caching behavior observed on the Dashboard route (ConcertServiceClient)
dashboard-concert-cache	Concert cache is invalidated on follow	KEEP	components/infrastructure/ui/route/dashboard	Concert cache is invalidated on follow		CLASSNAME	high	cache-invalidation timing observed on the Dashboard route after follow/unfollow/setHype
dashboard-concert-cache	listFollowed RPC provides hype data on every dashboard load	KEEP	components/infrastructure/ui/route/dashboard	listFollowed RPC provides hype data on every dashboard load		CLASSNAME	high	Dashboard route's hype-data loading behavior (FollowServiceClient.getFollowedArtistMap)
dashboard-concert-cache	All Nearby mode uses ListByLocation	KEEP	components/infrastructure/ui/route/dashboard	All Nearby mode uses ListByLocation			high	Dashboard route's All Nearby mode caching, separate from My Timetable
dashboard-date-filter	Default today-onward timetable	KEEP	components/infrastructure/ui/route/dashboard	Default today-onward timetable			high	Dashboard route's default date-filter request behavior
dashboard-date-filter	URL-driven date filter	KEEP	components/infrastructure/ui/route/dashboard	URL-driven date filter			high	Dashboard route's `from` query-param handling
dashboard-date-filter	Date facet in the filter bottom sheet	KEEP	components/infrastructure/ui/route/dashboard	Date facet in the filter bottom sheet			high	Dashboard route's filter-bottom-sheet date facet UI
dashboard-date-filter	Date filter state persistence	KEEP	components/infrastructure/ui/route/dashboard	Date filter state persistence			high	Dashboard route's URL-driven persistence across reload
fab-action-launcher	Global thumb-zone floating launcher	KEEP	components/infrastructure/ui/global/fab-menu	Global thumb-zone floating launcher			high	fab-menu global component rendered above content on every eligible route
fab-action-launcher	Single-tap disclosure of a labeled action list	KEEP	components/infrastructure/ui/global/fab-menu	Single-tap disclosure of a labeled action list			high	fab-menu's own disclosure interaction
fab-action-launcher	Per-route contextual action registration	KEEP	components/infrastructure/ui/global/fab-menu	Per-route contextual action registration			high	fab-menu aggregates contributions from multiple routes; it is the shared UI surface, not a single route
fab-action-launcher	Command and toggle action items	KEEP	components/infrastructure/ui/global/fab-menu	Command and toggle action items			high	fab-menu's action-item type contract
fab-action-launcher	Material 3 Expressive expansion and spring motion	KEEP	components/infrastructure/ui/global/fab-menu	Material 3 Expressive expansion and spring motion			high	fab-menu's own open/close motion
fab-action-launcher	Launcher accessibility contract	KEEP	components/infrastructure/ui/global/fab-menu	Launcher accessibility contract			high	fab-menu's disclosure a11y contract
fab-action-launcher	Persisted left-handed placement	KEEP	components/infrastructure/ui/global/fab-menu	Persisted left-handed placement			high	fab-menu's user-settable handedness placement
frontend-runtime-config	Frontend SPA SHALL load environment configuration from `/config.json` at bootstrap	OUT:design-doc					medium	bootstrap config-loading mechanism; no fan/organizer/admin actor observes the fetch itself
frontend-runtime-config	`/config.json` SHALL conform to the AppConfig schema	OUT:design-doc					high	schema contract between build and deploy tooling; no user actor
frontend-runtime-config	Bootstrap SHALL cross-check the configured environment against the page host	OUT:design-doc					medium	misconfiguration safety-check logic; its user-visible failure page is covered by the separate 'Bootstrap failures' requirement
frontend-runtime-config	A checked-in `public/config.json` SHALL provide dev defaults	OUT:design-doc				CLASSNAME	high	dev-tooling/build convenience (public/config.json); no user actor
frontend-runtime-config	The Service Worker SHALL bypass any cache for `/config.json`	OUT:design-doc				CLASSNAME	high	Workbox routing strategy in frontend/src/sw.ts; no user actor
frontend-runtime-config	Bootstrap failures SHALL surface a static error page	NEEDS_HUMAN					low	genuinely user-visible failure page, but it is explicitly non-Aurelia (bypasses all ui/global components) so no vocabulary target fits; needs a human decision on whether to propose a new surface
geo-location	GeoLocation Proto Entity	KEEP	components/entity/geo-location	GeoLocation Proto Entity			high	defines entity.v1.GeoLocation fields, matches vocabulary entity/geo-location
geo-location	GeoLocation Field Validation	KEEP	components/entity/geo-location	GeoLocation Field Validation			high	protovalidate constraints are an invariant of entity.v1.GeoLocation
landing-page	Passkey Authentication CTA	KEEP	components/infrastructure/ui/route/welcome	Passkey Authentication CTA			high	landing/welcome route's CTA placement and behavior
landing-page	Hero Screen Scroll Affordance	KEEP	components/infrastructure/ui/route/welcome	Hero Screen Scroll Affordance			high	welcome route's Screen 1 scroll affordance
landing-page	Guest-Friendly Welcome Copy	KEEP	components/infrastructure/ui/route/welcome	Guest-Friendly Welcome Copy			high	welcome route's copy placement near the primary CTA
landing-page	Authenticated User Redirect	KEEP	components/infrastructure/ui/route/welcome	Authenticated User Redirect			high	welcome route's redirect-to-dashboard behavior for authenticated users
landing-page	Welcome Page Language Switcher	KEEP	components/infrastructure/ui/route/welcome	Welcome Page Language Switcher			high	welcome route's language toggle
landing-page	Guided Product Demo Sequence	KEEP	components/infrastructure/ui/route/welcome	Guided Product Demo Sequence			high	welcome route's guided demo sequence
landing-page	Interactive Timetable Detail	KEEP	components/infrastructure/ui/route/welcome	Interactive Timetable Detail			high	welcome route's interactive timetable demo
landing-page	New-Concert Notification Cue	KEEP	components/infrastructure/ui/route/welcome	New-Concert Notification Cue			high	welcome route's mock-notification demo entry point
landing-page	Hero Kinetic Brand Treatment	KEEP	components/infrastructure/ui/route/welcome	Hero Kinetic Brand Treatment			high	welcome route's hero wordmark treatment
landing-page	Ambient Background	KEEP	components/infrastructure/ui/route/welcome	Ambient Background			high	welcome route's decorative background effect
landing-page	Landing Page Value Pillars Scope	KEEP	components/infrastructure/ui/route/welcome	Landing Page Value Pillars Scope			high	welcome route's advertised-capability scope
onboarding-celebration	Two-Tier Celebration Overlay	KEEP	components/infrastructure/ui/global/celebration-overlay	Two-Tier Celebration Overlay		CLASSNAME	high	celebration-overlay global component fired from maybeCelebrate() on the Dashboard
onboarding-celebration	Celebration Reveals the Timetable Behind the Text	KEEP	components/infrastructure/ui/global/celebration-overlay	Celebration Reveals the Timetable Behind the Text			high	celebration-overlay's backdrop/contrast treatment
passion-level	Passion Level Tiers	KEEP	components/entity/follow	Passion Level Tiers			medium	the four-tier HypeType enum and its DB default are an invariant of entity.v1.Follow; SPLIT-CANDIDATE: the UI-label-invariance scenario spans multiple UI surfaces (my-artists, page-help, settings)
passion-level	Existing follow records preserve their stored hype	DROP:historic				HISTORIC	medium	documents a one-time completed migration's no-UPDATE guarantee; not an ongoing product requirement
