old_spec	disposition	primary_target	confidence	evidence	note
modern-css-platform	OUT:design-doc		high	all 21 reqs mandate a specific CSS/JS platform API or authoring convention, enforced by stylelint; no requirement names a user-observable product contract distinct from the implementation choice	frontend/docs/design/modern-css-platform.md
state-management	SPLIT	components/usecase/follow/follow	medium	8/10 reqs describe internal Aurelia service implementation (DI singletons, @observable, localStorage keys/serialization) with no distinct product contract; 2 reqs (FollowServiceClient, ConcertServiceClient) mirror real backend usecases (follow/follow, concert/search-new-concerts) that a fan observes	frontend/docs/design/state-management.md (OUT-portion: OnboardingService/GuestService/GuestFollow/persistence/hydration/OnboardingStep are implementation detail; Single DI access path is a lint rule)
live-events	SPLIT	components/entity/concert	medium	7/9 reqs map to entity (Concert/Event data model, Venue embedding) or usecase (list-by-follower-grouped, artist/create, concert/list-by-artist) targets, plus one locale infra proposal; 2 reqs (Proto VO Consistency, Go field rename) are internal data-representation/refactor conventions with no user actor	backend/docs/design/live-events.md (OUT-portion: Proto Value Object Consistency, Go Entity Field Name Alignment)
frontend-hosting	OUT:runbook		high	all 11 reqs describe container build, Kubernetes/Caddy/Gateway deployment, DNS/TLS, and post-deploy verification mechanics; no fan/organizer/admin actor observes any of it	cloud-provisioning/docs/runbooks/frontend-hosting.md (design-flavored reqs -> cloud-provisioning/docs/design/frontend-hosting.md: SPA routing, Caddyfile configuration, /config.json header)
event-management	SPLIT	components/entity/event	high	6/7 reqs are entity invariants for Event/Concert/Series (fields, identity, aggregation, embedding); 1 req (trace context propagation) is a telemetry cross-cutting concern with no user actor	backend/docs/design/event-management.md (OUT-portion: Trace context propagation across message broker)
organizer-accounts	SPLIT	components/usecase/organizer/create	high	6/7 reqs map cleanly to OrganizerUseCase methods (create, associate-artist, list, reconcile-provisioning, deactivate) or a proposed first-sign-in story; 1 req (analytics events) is a telemetry cross-cutting concern with no observing actor	backend/docs/design/organizer-accounts.md (OUT-portion: Organizer lifecycle emits analytics events)
jetstream-consumer-reliability	OUT:design-doc		high	all 9 reqs govern JetStream consumer naming, fan-out topology, liveness probes, autoscaling, and stream ownership; entirely backend messaging-infra reliability with no fan/organizer/admin actor	backend/docs/design/jetstream-consumer-reliability.md (operational-flavored reqs -> cloud-provisioning/docs/runbooks/jetstream-consumer-reliability.md: backlog-stall alert, subscription-failure-fails-loud, liveness probe, scale-to-zero)
admin-rpc-server	OUT:design-doc		high	all 6 reqs are backend Connect-server topology, boundary authorization, CORS, ingress, and interceptor-construction architecture; PERMISSION_DENIED/host-resolution are standard RPC/infra patterns, not distinctive product contracts	backend/docs/design/admin-rpc-server.md
notification-lifecycle	SPLIT	components/entity/notification	medium	3/8 reqs map to Notification entity and NotificationUseCase.Notify/MarkRead; 5 reqs are telemetry (product-analytics emission), operational logging, or internal producer/id-propagation wiring with no distinct user-facing behavior	backend/docs/design/notification-lifecycle.md (OUT-portion: producer routing, id propagation; runbook-portion: zero-recipient logging -> cloud-provisioning/docs/runbooks/notification-lifecycle.md; analytics reqs are telemetry)
sales-phase	SPLIT	components/entity/sales-phase	high	6/7 reqs are SalesPhase entity invariants or SalesPhaseDiscoveryUseCase.DiscoverForArtist reconciliation/persistence rules; 1 req (database schema) is an implementation-level table layout with no user actor	backend/docs/design/sales-phase.md (OUT-portion: SalesPhase Database Schema)
nearby-proximity	SPLIT	components/entity/proximity	high	2/3 reqs map to the Proximity entity method and UserUseCase.UpdateHome; 1 req mandates unit-test coverage for an internal function with no user actor	backend/docs/design/nearby-proximity.md (OUT-portion: Centroid Resolution Unit Coverage is a test-coverage/lint mandate)
k8s-resource-right-sizing	OUT:runbook		high	both reqs set dev-environment CPU/memory request sizing and autoscaler replica caps; purely operational cost/capacity policy, no user actor	cloud-provisioning/docs/runbooks/k8s-resource-right-sizing.md
workload-naming-convention	OUT:design-doc		high	all 5 reqs establish a Kubernetes/GCP resource naming convention and its migration procedure; no fan/organizer/admin actor observes internal resource names	cloud-provisioning/docs/design/workload-naming-convention.md (migration-procedure req -> cloud-provisioning/docs/runbooks/workload-naming-convention.md: additive rename sequence)
database	OUT:runbook		high	all 4 reqs govern migration ordering, Cloud SQL availability tier, schema placement, and a column-design convention; purely infra/ops, no user actor	cloud-provisioning/docs/runbooks/database.md (design-flavored reqs -> cloud-provisioning/docs/design/database.md: dedicated app schema, no metadata timestamp columns)
push-notification-localization	KEEP	components/usecase/push-subscription/notify-new-concerts	high	both reqs describe user-facing push notification content localized to the recipient's preferred language, mapping to a locale infra proposal and PushNotificationUseCase.NotifyNewConcerts	
toast-ce	KEEP	components/infrastructure/ui/global/toast	high	the single requirement matches the existing frontend/src/components/toast global UI surface exactly	
commit-gate-hook	OUT:runbook		high	all 3 reqs govern AI-agent dev-tooling (commit gate hook, skill removal, doc updates); no product user actor	docs/runbooks/commit-gate-hook.md (one req, code-verifier skill removal, is a one-time obsolete cleanup task with no destination doc)
web-push-delivery-alerting	OUT:runbook		high	both reqs are Cloud Monitoring alerts on delivery-failure ratio and subscription starvation; purely operational, no user actor	cloud-provisioning/docs/runbooks/web-push-delivery-alerting.md
