old_spec	old_req_name	disposition	target_path	new_req_name	merge_group	rewrite_flags	confidence	rationale
app-shell-layout	Brand Identity Elements	NEEDS_HUMAN					low	No vocabulary target for app-level branding/favicon/manifest chrome; does not fit an existing route, global surface, or infra kind cleanly.
app-shell-layout	Conditional Navigation Display	KEEP	components/infrastructure/ui/global/bottom-nav-bar	Conditional Navigation Display			medium	Also touches page-header/au-viewport grid, but bottom-nav-bar visibility is the dominant fan-observable surface; tie-break applied.
app-shell-layout	Route components own page structure	OUT:design-doc					high	CSS/template architecture convention (:scope grid, no page-shell wrapper); no fan or organizer observes markup structure choice.
app-shell-layout	Stale-data warning uses overlay pattern	KEEP	components/infrastructure/ui/route/dashboard	Stale-data warning uses overlay pattern			medium	Dashboard-specific stale-data banner positioning is observed by the fan on the dashboard route.
app-shell-layout	Semantic HTML structure	OUT:lint					medium	Cross-route markup convention (list/header/search/aside elements) overlapping the semantic-dom capability; no distinct fan-observable behavior.
app-shell-layout	Page Transition Animations	NEEDS_HUMAN					low	Shell-wide route-transition animation applies to every route; no matching route or global-surface vocabulary target exists.
app-shell-layout	Auth Status UI Redesign	KEEP	components/infrastructure/ui/global/page-header	Auth Status UI Redesign			medium	Auth status chrome is shell-level with no dedicated vocabulary entry; tie-broken to page-header as the closest existing global surface.
app-shell-layout	Notification Prompt Placement	KEEP	components/infrastructure/ui/global/notification-prompt	Notification Prompt Placement			high	Directly names the notification-prompt component and its shell-level placement rules.
app-shell-layout	PWA Install Prompt i18n	KEEP	components/infrastructure/ui/global/pwa-install-banner	PWA Install Prompt i18n			high	PWA install prompt i18n keys map directly to the pwa-install-banner global component.
app-shell-layout	Prompt Entrance and Exit Animations	KEEP	components/infrastructure/ui/global/pwa-install-banner	Prompt Entrance and Exit Animations			medium	Also governs notification-prompt's animation; pwa-install-banner chosen as dominant target, SPLIT-CANDIDATE noted.
app-shell-layout	App shell hosts the global FAB action launcher	KEEP	components/infrastructure/ui/global/fab-menu	App shell hosts the global FAB action launcher			high	Directly describes the shell hosting the FAB launcher, i.e. the fab-menu global component.
app-shell-layout	Instant page-identity switch on navigation intent	KEEP	components/infrastructure/ui/global/page-header	Instant page-identity switch on navigation intent			medium	Covers both the page-header title and the bottom-nav active tab; page-header chosen as the dominant identity surface, SPLIT-CANDIDATE noted.
artist-discovery-dna-orb-ui	DNA Extraction UI Concept	KEEP	components/infrastructure/ui/route/discovery	DNA Extraction UI Concept			medium	Describes the overall Discovery screen concept (bubbles + orb + onboarding overlay), scoped to the discovery route.
artist-discovery-dna-orb-ui	Bubble Absorption Animation	KEEP	components/infrastructure/ui/global/dna-orb	Bubble Absorption Animation			high	OrbRenderer.injectColor and orb color-injection behavior map directly to the dna-orb global component.
artist-discovery-dna-orb-ui	Bubble Burst On Tap	KEEP	components/infrastructure/ui/route/discovery	Bubble Burst On Tap			medium	Bubble tap-burst effect is part of the Discovery canvas; no dedicated bubble-field global component exists in vocabulary.
artist-discovery-dna-orb-ui	Orb respects prefers-reduced-motion	KEEP	components/infrastructure/ui/global/dna-orb	Orb respects prefers-reduced-motion			high	Orb animation's reduced-motion handling is dna-orb component behavior.
artist-discovery-dna-orb-ui	Dynamic Toast Notifications for Live Events	KEEP	components/infrastructure/ui/global/toast	Dynamic Toast Notifications for Live Events			high	Directly describes a toast notification, matching the toast global component.
artist-discovery-dna-orb-ui	Similar Artist Chain Reaction	KEEP	components/infrastructure/ui/route/discovery	Similar Artist Chain Reaction			medium	Fan-visible bubble spawning on the Discovery route; also triggers Follow/ListSimilar RPCs, SPLIT-CANDIDATE noted for the usecase result.
artist-discovery-dna-orb-ui	Search result item is fully tappable	KEEP	components/infrastructure/ui/route/discovery	Search result item is fully tappable			medium	Search result row tap-to-follow behavior is part of the Discovery screen's search UI.
artist-discovery-dna-orb-ui	Spawn and absorb API on canvas	KEEP	components/infrastructure/ui/global/dna-orb	Combined spawn-and-absorb bubble action		CLASSNAME	medium	DnaOrbCanvas.spawnAndAbsorb is an implementation method of the dna-orb component; title renamed away from the implementation-typed 'API on canvas' phrasing.
artist-discovery-dna-orb-ui	Completion Action via DNA Orb	KEEP	components/infrastructure/ui/route/discovery	Completion Action via DNA Orb			medium	Dashboard-navigation button rendered on/near the orb during Discovery; scoped to the route flow's completion step.
artist-discovery-dna-orb-ui	Physics-Based Bubble Animation	KEEP	components/infrastructure/ui/route/discovery	Physics-Based Bubble Animation			medium	Bubble physics movement is a Discovery-route rendering concern; named libraries (Matter.js/D3.js) are illustrative examples only.
artist-discovery-dna-orb-ui	List followed artists from backend	DROP:duplicate				CLASSNAME	medium	Implementation bug-fix for ArtistDiscoveryService.listFollowedFromBackend's artistClient scoping; ListFollowed behavior is already covered by artist-following's ListFollowed Response requirement.
artist-discovery-dna-orb-ui	Small-screen bubble and orb density adaptation	KEEP	components/infrastructure/ui/route/discovery	Small-screen bubble and orb density adaptation			high	Directly observable responsive behavior of the Discovery bubble field and orb on narrow screens.
artist-discovery-dna-orb-ui	Orb Activation Separates Gesture Celebration From Follow-Count State	KEEP	components/infrastructure/ui/global/dna-orb	Orb Activation Separates Gesture Celebration From Follow-Count State			medium	Governs the orb's stage-level/celebration state machine; tied to the dna-orb component over the route, tie-break applied.
frontend-i18n	i18n Plugin Registration	KEEP	components/infrastructure/locale/i18n-bootstrap	i18n Plugin Registration			low	Startup i18next registration with a fan-observable fallback language (ja); no existing locale infra name, proposing i18n-bootstrap.
