old_spec	disposition	primary_target	confidence	evidence	note
entity-domain-logic	NEEDS_HUMAN	components/entity/concert	medium	Mostly clean entity invariants (Home/Hype/Proximity/Concert/Artist/Venue/Notification) plus two DROP:historic blockchain-ticket leftovers (GenerateTokenID, ValidateEthereumAddress), one OUT:lint type-alias, and one NEEDS_HUMAN status-mapping mismatch against the current TicketJourneyStatus enum	
concert-approval-queue	NEEDS_HUMAN	components/usecase/concert/approve	medium	Nine of ten requirements map cleanly onto AdminConcertUseCase (approve/reject/delete/list-pending) and the discovery pipeline (SearchNewConcerts/CreateFromDiscovered); only the admin console UI has no vocabulary entry	
concert-detail	KEEP	components/infrastructure/ui/route/dashboard	high	All five requirements describe the concert-detail sheet and lane logic anchored to the dashboard route's /concerts/:id URL and its ListByFollowerGrouped RPC	
entity-store-layer	NEEDS_HUMAN	components/usecase/ticket-journey/set-status	low	Mixes an internal store-architecture mandate (OUT:design-doc) with two user-observable guarantees (guest-data continuity as a story, ticket-journey sync via SetStatus) and one ambiguous resilience requirement (NEEDS_HUMAN)	
user-language-preference	SPLIT	components/infrastructure/locale/language-resolution	medium	3 KEEPs split across entity/user, usecase/user/create, usecase/user/update-preferred-language, and 2 KEEPs sharing locale/language-resolution (most common); 1 DROP:duplicate, 1 OUT:lint	
bubble-state-management	KEEP	components/infrastructure/ui/route/discovery	high	All 7 requirements describe BubbleManager/physics-layer behavior scoped to the discovery route	
signup-prompt-banner	KEEP	components/infrastructure/ui/global/signup-prompt-banner	high	5 KEEPs, tied 2/2 between global/signup-prompt-banner and route/dashboard; global banner chosen as primary since it is the spec's namesake component	
user-auth	SPLIT	stories/sign-up-or-sign-in	medium	2 KEEPs proposed as distinct stories (sign-up-or-sign-in, restore-session-on-cold-start), 1 OUT:design-doc (session-monitoring CSP incompatibility)	
email-verification	KEEP	components/infrastructure/email/verification	medium	Both requirements route through EmailVerifier and are grouped under the email infra kind (name proposed as "verification")	
frontend-observability	OUT:design-doc		high	All three requirements describe OTEL/telemetry wiring (WebTracerProvider, ConnectError spans, OtelLogSink) with no user actor	frontend/docs/design/otel-observability.md
admin-area-normalization	SPLIT	components/entity/venue	medium	Normalization + extraction are entity invariants (venue, user); pipeline requirement is a usecase; migration requirement is historic (already executed)	
admin-console	SPLIT	stories/sign-in-to-admin-console	medium	3 of 5 requirements form one sign-in journey story (no admin app namespace exists yet in vocabulary); bundle isolation and import-boundary lint are build concerns	
discovery-tap-sonic-feedback	KEEP	components/infrastructure/ui/route/discovery	high	All three requirements describe discovery-route tap/absorption audio feedback	
journey-status-presentation	KEEP	components/infrastructure/ui/route/dashboard	medium	Canonical map/icon/hue requirements primarily surface on dashboard filter chips; no matching ui/global surface exists in vocabulary	
dna-orb-color-injection	KEEP	components/infrastructure/ui/global/dna-orb	high	Both requirements describe OrbRenderer behavior of the shared dna-orb component	
dev-db-access	OUT:runbook		high	Entire spec is a developer/agent-only Cloud SQL Auth Proxy access procedure, no fan/organizer actor	backend/docs/dev-db-access.md
pulumi-state-recovery	OUT:runbook		high	Spec is entirely the operator runbook content itself for cloud-provisioning	cloud-provisioning/docs/runbooks/pulumi-state-recovery.md
