old_spec	disposition	primary_target	confidence	evidence	note
analytics-consent	SPLIT	components/infrastructure/ui/route/settings	medium	2 of 6 reqs (Settings Analytics/Session-replay toggles) map to the settings route; the other 4 are telemetry/legal policy statements (opt-out default posture, anonymous capture, identify-merge, sensitive-data exclusion) with no single UI surface - tie-break routes telemetry to OUT	frontend analytics-policy design rationale (no existing doc file identified); not a spec surface
artist-image-ui	NEEDS_HUMAN		low	All 3 reqs (event-card logo display, detail-sheet hero image, fanart propagation) describe real product UI but vocabulary has no ui/global entry for event-card or event-detail-sheet	
concert-search-internals	OUT:lint		high	All 5 reqs are Go Clean-Architecture import-boundary and test-methodology rules for internal/usecase; no user actor observes any of them	backend/AGENTS.md (Clean Architecture & testing conventions)
follow-triggered-search	KEEP	components/usecase/follow/follow	high	All 3 reqs describe FollowUseCase.Follow's background concert-search trigger on first follow and its non-blocking error handling	
frontend-network-timeouts	NEEDS_HUMAN	components/infrastructure/service-worker/analytics-capture-timeout	medium	2 of 4 reqs (Service-Worker fetch timeouts for analytics capture and VAPID-key fetch) map to the service-worker infra kind; the other 2 (main-thread shared-transport RPC deadline, its runtime config) are cross-app and have no matching networking/transport infra kind in vocabulary	
frontend-onboarding-flow	KEEP	stories/complete-onboarding	medium	2 of 3 reqs (single-flag onboarding state, final transparency-notice step) describe the cross-route onboarding-completion story; 1 (bubble-network discovery UI) is scoped to the discovery route	
frontend-plain-date-lib	OUT:design-doc		high	All 6 reqs define the internal calendar-arithmetic library's API contract, engine-equivalence testing, and build-time engine selection; no user actor observes the library boundary itself	frontend/src/lib/plain-date design rationale (no existing doc file identified); not a spec surface
frontend-testing	NEEDS_HUMAN	components/infrastructure/ui/route/discovery	low	Of 45 reqs: 26 are test-infrastructure/mock/cleanup conventions (OUT:lint) and 1 is an implementation-detail utility (OUT:design-doc); 10 turned out to be real product behavior misfiled under this testing capability (dashboard/discovery routes; toast, live-highway, error-banner, bottom-nav-bar global surfaces); 8 describe product-adjacent behavior (event-card, event-detail-sheet, auth guard/interceptors, gRPC transport) with no matching vocabulary target	frontend Vitest/Aurelia testing-conventions doc (e.g. frontend/AGENTS.md) for the OUT:lint portion
gke-standard-infrastructure	OUT:design-doc		high	All 8 reqs are GKE cluster/node-pool/networking provisioning decisions for the dev environment; no user (fan/organizer) actor observes any of them	cloud-provisioning/docs/infrastructure/gke-dev-cluster.md
guest-data-merge	KEEP	stories/merge-guest-data-on-signup	medium	All 4 reqs (guest storage during onboarding, hype merge, data merge on authentication, cleanup) describe one cross-route story: syncing guest session data to the backend account on signup	
localstorage-naming	OUT:lint		high	All 3 reqs are localStorage key naming/registry conventions; no user actor (one req also carries a one-time HISTORIC legacy-key removal with no value migration)	frontend/AGENTS.md (localStorage key naming convention)
migration-rebase-guard	OUT:runbook		high	All 3 reqs describe a developer-tooling migration-drift check script and its Claude Code PostToolUse hook integration; no user actor	backend/docs/runbooks/migration-drift-guard.md
post-signup-dialog	KEEP	components/infrastructure/ui/global/post-signup-dialog	high	6 of 7 reqs directly describe the post-signup-dialog global surface (display rules, open timing, i18n, footer state, sequencing, PWA-install fallback); 1 describes the pwa-install-banner's beforeinstallprompt listener timing that the dialog also depends on	
search-follow-absorption	KEEP	components/infrastructure/ui/route/discovery	high	The single req describes the discovery route's bubble-view transition and absorption animation when a user follows from search results	
ticket-purchase-and-issuance	NEEDS_HUMAN	components/entity/order	low	Of 9 reqs: 2 map cleanly to Order/Ticket entity invariants; 3 are legal/architecture design-doc statements (settlement-and-payout delegation, 収納代行 scheme, PCI SAQ A scope); 4 describe issuance/refund usecase behavior (idempotent issuance, post-capture reconciliation, refund taxonomy, the trigger itself) with no matching usecase target - vocabulary has no order/ticket-issuance usecase family yet	
