old_spec	disposition	primary_target	confidence	evidence	note
gemini-grounded-extract-and-coerce	OUT:design-doc		high	All 19 requirements describe ConcertSearcher's internal two-step Gemini call pipeline (tool configs, XML/JSON envelope shapes, merge/dedup algorithms, A/B harness) — implementation detail of the backend gemini adapter, not directly observed by fans/organizers	backend/internal/infrastructure/gcp/gemini/design.md
product-analytics	OUT:design-doc		high	All 14 requirements govern the PostHog analytics pipeline (platform choice, event naming/catalogue process, SDK config, replay privacy) — internal instrumentation, not product behavior a fan/organizer observes	docs/analytics/event-catalog.md (process items) plus a design-doc for SDK/pipeline choices
ticket-journey	NEEDS_HUMAN	components/usecase/ticket-journey/set-status	medium	Entity + 3 usecase methods map cleanly to vocabulary; 8 "Ticket Status" UI requirements (EventDetailSheet) have no matching components/infrastructure/ui/global/<surface> entry — needs a new vocabulary entry (e.g. event-detail-sheet or ticket-status) in Pass 2	
onboarding-spotlight	KEEP	components/infrastructure/ui/global/coach-mark	high	All 11 requirements describe the shared <coach-mark> overlay component (frontend/src/components/coach-mark)	
layout-assertions	OUT:runbook		high	All 6 requirements govern the E2E/layout test suite's own selectors and assertions, not product behavior	frontend/e2e (test conventions, no dedicated doc)
frontend-error-handling	SPLIT	components/infrastructure/ui/global/error-banner	medium	5 of 6 requirements KEEP under error-banner/toast (global error UI and recovery feedback); the promise.bind requirement is OUT as a generic coding convention	
frontend-store-cache	OUT:design-doc		high	All 6 requirements define an internal Aurelia store caching primitive (stale-while-revalidate, key composition, invalidation) with no distinct user-facing surface	frontend design doc for the store-cache primitive
user-profile-hydration	SPLIT	components/infrastructure/locale/preferred-language-sync	medium	3 of 9 requirements are locale-sync behavior (KEEP, locale infra kind); the remaining 6 describe internal UserService hydration/caching orchestration (OUT)	
cloud-dns-infrastructure	OUT:design-doc		high	All 5 requirements are Pulumi/Cloudflare DNS provisioning decisions for cloud-provisioning infra, no product-user actor	cloud-provisioning/docs/design/dns.md
pwa-update-lifecycle	KEEP	components/infrastructure/service-worker/update-lifecycle	high	4 of 6 requirements are SW registration/lifecycle mechanics (service-worker kind); 2 describe the user-visible update Snack (ui/global/snack-bar)	
id-resolution	NEEDS_HUMAN		medium	1 of 2 requirements is a pure code-layering convention (OUT); the NotFound-response requirement is genuinely cross-cutting across many usecases with no single vocabulary target	
gcp-cost-guardrails	OUT:runbook		high	All 3 requirements are GCP Pulumi cost-guardrail resources (quota overrides, billing budget alerts), pure ops	cloud-provisioning/docs/runbooks/cost-guardrails.md
proximity-model	SPLIT	components/entity/concert	high	Proximity enum and Concert.ProximityTo are entity invariants (KEEP); the underlying Haversine math utility is a generic implementation helper (OUT)	
coordinates-vo	KEEP	components/entity/coordinates	high	Single requirement maps directly to the Coordinates entity	
otel-sdk-configuration	OUT:design-doc		high	All 4 requirements configure the backend OTel SDK (sampler, resource, propagator, MeterProvider) — telemetry cross-cutting, no user actor	backend design doc for OTel SDK setup
loading-spinner-ce	KEEP	components/infrastructure/ui/global/loading-spinner	high	Single requirement maps directly to frontend/src/components/loading-spinner	
browser-locale-detection	KEEP	components/infrastructure/locale/country-from-timezone	medium	Both requirements describe a non-UI locale-detection utility, kind=locale, name proposed	
watermill-structured-logging	OUT:design-doc		high	Both requirements are backend logging-infrastructure technology decisions (Watermill slog adapter), no user actor	backend design doc for logging
