old_spec	old_req_name	disposition	target_path	new_req_name	merge_group	rewrite_flags	confidence	rationale
artist-image	Fanart Entity	KEEP	components/entity/artist	Artist fanart image collection			medium	Fanart is a field on the Artist entity (artist.proto); fan/organizer sees these images
artist-image	Best Image Selection	OUT:design-doc				CLASSNAME	medium	pure selection algorithm (BestByLikes); no user actor, subsumed by Fanart Proto Mapper's selection behavior
artist-image	Fanart Proto Message	KEEP	components/entity/artist	Artist fanart proto shape			medium	defines the Artist.fanart field shape exposed to clients
artist-image	Fanart Proto Mapper	OUT:design-doc				CLASSNAME	medium	internal mapper layer (domain->proto conversion); no user actor, implementation detail
artist-image	Fanart Database Storage	OUT:design-doc					high	JSONB column/storage schema detail; no user actor
artist-image	ArtistImageResolver Interface	OUT:design-doc					high	internal Go interface for external image resolution; no user actor
artist-image	fanart.tv API Client	OUT:design-doc					high	external HTTP client implementation detail; no user actor
artist-image	Immediate Image Fetch on Artist Creation	KEEP	components/usecase/artist/sync-artist-image	Immediate image fetch on artist creation			high	matches ArtistImageSyncUseCase.SyncArtistImage triggered by ARTIST.created
artist-image	Periodic Image Sync CronJob	KEEP	components/usecase/artist/sync-artist-image	Periodic sync refreshes stale artist images		CLASSNAME	medium	scheduled invocation of ArtistImageSyncUseCase.SyncArtistImage; cron/circuit-breaker mechanics are ops detail folded into same target
atlas-operator	Atlas Operator SHALL be installed in the GKE cluster	OUT:runbook					high	no user actor; cluster operator installation detail
atlas-operator	Migrations SHALL be stored as ConfigMap	OUT:runbook					high	no user actor; Kustomize ConfigMap mechanics
atlas-operator	AtlasMigration CRD SHALL connect as postgres user	OUT:runbook					high	no user actor; DB connection/auth mechanics
atlas-operator	Migrations SHALL create the app schema and grant permissions	OUT:runbook					high	no user actor; schema bootstrap mechanics
atlas-operator	Backend repository SHALL host an Atlas migration prod overlay	OUT:runbook				CLASSNAME	high	no user actor; kustomize overlay/ArgoCD sync mechanics
backend-otel-instrumentation	External HTTP client tracing via otelhttp transport	OUT:design-doc					high	telemetry cross-cutting concern; no user actor
backend-otel-instrumentation	Zitadel gRPC client tracing via otelgrpc	OUT:design-doc					high	telemetry cross-cutting concern; no user actor
backend-otel-instrumentation	UseCase spans for CPU-intensive business logic	OUT:design-doc				CLASSNAME	high	telemetry cross-cutting concern naming BuildMerkleTree/FilterNewConcerts/PersistArtists; no user actor
backend-otel-instrumentation	Application metrics	OUT:design-doc					high	telemetry cross-cutting concern; no user actor
backend-otel-instrumentation	Trace context preservation in deferred operations	OUT:design-doc					high	telemetry cross-cutting concern; no user actor
dashboard-journey-filter	URL-driven journey filter	KEEP	components/infrastructure/ui/route/dashboard	URL-driven journey filter			high	single-route (dashboard) URL query behavior
dashboard-journey-filter	Journey filter combines with artist filter	KEEP	components/infrastructure/ui/route/dashboard	Journey filter combines with artist filter			high	dashboard route filtering logic
dashboard-journey-filter	Journey filter state synchronised with URL	KEEP	components/infrastructure/ui/route/dashboard	Journey filter state synchronised with URL			high	dashboard route URL state sync
dashboard-journey-filter	Journey-status facet in the filter sheet	KEEP	components/infrastructure/ui/global/artist-filter-bar	Journey-status facet in the filter sheet			medium	shared filter bottom sheet surface (artist-filter-bar) gains a facet
dashboard-journey-filter	Journey facet visible to authenticated users only	KEEP	components/infrastructure/ui/global/artist-filter-bar	Journey facet visible to authenticated users only			medium	shared filter sheet surface visibility rule
db-trace-correlation	OTel span creation for database queries	OUT:design-doc					high	telemetry cross-cutting concern; no user actor
db-trace-correlation	sqlcommenter traceparent injection	OUT:design-doc					high	telemetry cross-cutting concern; no user actor
db-trace-correlation	Transparent pool wrapping	OUT:design-doc				CLASSNAME	high	names TracedPool implementation type; no user actor
db-trace-correlation	Transaction query tracing	OUT:design-doc					high	telemetry cross-cutting concern; no user actor
discover	Bubble UI Re-experience	KEEP	components/infrastructure/ui/route/discovery	Bubble UI re-experience on Discover tab			high	discover route behavior
discover	Manual Search	KEEP	components/infrastructure/ui/route/discovery	Manual search on Discover tab			high	discover route behavior
discover	Search bar icon explicit sizing	KEEP	components/infrastructure/ui/route/discovery	Search bar icon explicit sizing			medium	discover route layout fix, user-visible overflow prevention
discover	Performance on Tab Switch	KEEP	components/infrastructure/ui/route/discovery	Bubble physics pauses when Discover tab is inactive			medium	discover route resource behavior tied to tab activation
discover	Reset to Top 50 control	KEEP	components/infrastructure/ui/route/discovery	Reset to Top 50 control			high	discover route control
feature-flag-management	Feature flags require a documented description record on creation	OUT:runbook					high	engineering process/governance; no fan or organizer actor
feature-flag-management	Significant experiments evaluate flags only after `identify`	OUT:design-doc					medium	cross-cutting analytics evaluation-timing policy, not a specific route/usecase; no named user actor
feature-flag-management	Flag evaluation always has a default value on PostHog unavailability	OUT:design-doc					medium	cross-cutting resilience policy for analytics tooling; no named user actor
feature-flag-management	Frontend bootstraps flags from the last-known persisted value	OUT:design-doc					medium	cross-cutting analytics bootstrap policy; no named user actor
feature-flag-management	Stale flags are reviewed monthly and decided at or before the kill date	OUT:runbook					high	engineering process; no fan or organizer actor
frontend-entity-layer	Artist entity	OUT:design-doc				CLASSNAME	medium	frontend architecture: use canonical proto Artist, remove ArtistBubble/GuestFollow duplicate interfaces; no user actor
frontend-entity-layer	FollowedArtist entity	OUT:design-doc				CLASSNAME	medium	frontend architecture: follow.ts interface shape; no user actor
frontend-entity-layer	Concert entity	OUT:design-doc				CLASSNAME	medium	frontend architecture: concert.ts interface shape; no user actor
frontend-entity-layer	Single mapping point	OUT:design-doc				CLASSNAME	medium	frontend architecture principle (no intermediate mapping); no user actor
frontend-entity-layer	Guest state stores proto Artist	OUT:design-doc				CLASSNAME	medium	frontend persistence/serialization architecture; no user actor
frontend-entity-layer	Grid view removal	KEEP	components/infrastructure/ui/route/my-artists	My Artists list-view only			high	single-route (my-artists) UI behavior
frontend-entity-layer	Concert region is presentation-ready	KEEP	components/infrastructure/locale/venue-admin-area-label	Concert admin-area shown as localized label		CLASSNAME	medium	locale-kind infra: presentation layer shows localized admin-area label instead of raw code, cross-cutting across surfaces
guest-mode-access	Guest Free Navigation After Dashboard	NEEDS_HUMAN					low	cross-route navigation policy; no single route/global-surface vocabulary entry fits and it is not a concrete story goal
guest-mode-access	Account-Only Features Hidden, Not Blocked	NEEDS_HUMAN					low	cross-route UI policy applied per-screen; no single route/global-surface vocabulary entry fits
guest-mode-access	Persistent Auth Entry From Discovery Onward	KEEP	components/infrastructure/ui/route/settings	Persistent auth entry point in Settings			high	spec explicitly says entry point is hosted in Settings route
m3-design-tokens	Color roles with guaranteed on-color pairing	OUT:lint					high	design-token/style rule; no user actor
m3-design-tokens	State-layer opacity scale	OUT:lint					high	design-token/style rule; no user actor
m3-design-tokens	Motion tokens split by property class	OUT:lint					high	design-token/style rule; no user actor
m3-design-tokens	Shape roles including expressive steps	OUT:lint					high	design-token/style rule; no user actor
m3-design-tokens	Tonal surface-container tiers	OUT:lint					high	design-token/style rule; no user actor
