old_spec	disposition	primary_target	confidence	evidence	note
prod-environment-bootstrap	OUT:design-doc		high	15 provisioning requirements for liverty-music-prod GCP/GKE (irreversible cluster decisions + peripheral resources); no fan/organizer/admin observes any of it	cloud-provisioning/docs/decisions/prod-environment-bootstrap.md (design-doc items); cloud-provisioning/docs/runbooks/prod-environment-bootstrap.md (runbook items)
design-system	NEEDS_HUMAN	components/infrastructure/ui/global/svg-icon	medium	3 of 9 requirements KEEP onto existing global components (svg-icon, state-placeholder, snack-bar); 4 are OUT (tokens/fonts/transitions/type-scale, all design tokens excluded per spec Purpose); Page Shell Component has no matching vocabulary surface	frontend/docs/design-tokens.md for OUT items; Page Shell Component needs a vocabulary decision (new global surface vs merge into page-header)
entity-test-coverage	OUT:lint		high	17 of 18 requirements are pure unit-test-coverage or apperr coding conventions with named functions/types (isHypeMatched, hasFollow, HYPE_TIERS, etc.); SafePredictor is an internal dependency-direction convention	backend AGENTS.md / go-tester skill testing standards; frontend entity test conventions
css-linting	OUT:lint		high	All 9 requirements are Stylelint rule definitions (color functions, logical properties, container queries, anti-patterns, ordering, at-rules, stacking, a11y, CI wiring)	frontend/stylelint.config.js (existing tool config, no separate doc needed)
unified-check-interface	OUT:delete		high	Both requirements are cross-repo Makefile/CI target-wiring mechanics with no lasting product value	repo-root Makefile / CI workflow YAML (mechanics only, no doc)
schema-lint	OUT:lint		high	9 of 10 requirements are schema.sql linter rules (banned types, audit columns, comment coverage, CI/Makefile wiring); 1 duplicates the Makefile-integration requirement	backend/docs/schema-lint.md (or scripts/lint-schema.sh header comment)
logo-color-analysis	NEEDS_HUMAN	components/usecase/artist/sync-artist-image	medium	3 of 5 requirements KEEP (2 onto usecase/artist/sync-artist-image, 1 onto entity/artist for the LogoColorProfile proto message); sRGB->OKLCH conversion is OUT (pure math utility); Frontend Background Color Derivation has no matching ui/global surface for event-card artist-hue	No fitting vocabulary surface for the frontend event-card background-color derivation step
prod-k8s-manifests	OUT:design-doc		high	6 requirements define the prod ArgoCD Application set, Kustomize overlay scope, Gateway static-IP binding, and PodMonitoring opt-in; no fan/organizer/admin observes any of it	cloud-provisioning/docs/decisions/prod-k8s-manifests.md
organizer-rpc-server	NEEDS_HUMAN	components/usecase/organizer/get	medium	2 of 4 requirements KEEP cleanly onto OrganizerUseCase.Get and .ListArtists; server-isolation/CORS requirement is OUT; org-scoped authorization spans both usecases with no single fitting target	Dedicated-server isolation requirement -> cloud-provisioning/docs/decisions/organizer-rpc-server.md
shell-layout	NEEDS_HUMAN	components/infrastructure/ui/route/dashboard	medium	2 of 4 requirements KEEP onto the dashboard route (semantic HTML, live-highway elimination); the two app-shell-level CSS Grid/scroll-containment requirements have no matching 'app-shell' surface in vocabulary	App-shell-level requirements need a vocabulary decision (new global surface vs folding into each route)
non-blocking-menu-navigation	NEEDS_HUMAN	components/infrastructure/ui/route/dashboard	medium	1 of 6 requirements KEEPs onto the dashboard route (data-ready side effects); 2 are OUT (loading()/AbortController implementation detail); 3 cross-route router-behavior requirements (My Artists/Dashboard/Discovery) have no single fitting vocabulary target	Cross-route requirements need a vocabulary decision (per-route duplication vs a new router/navigation surface)
onboarding-guidance	SPLIT	components/infrastructure/ui/route/discovery	high	4 of 5 requirements KEEP (3 onto the discovery route, 1 onto the dna-orb global component); the z-index requirement is OUT (CSS anti-pattern, mirrors css-linting)	z-index requirement -> frontend/stylelint.config.js (existing tool config)
billing-export-infrastructure	OUT:design-doc		high	5 requirements provision a BigQuery billing-export dataset/IAM and document Console-side enablement steps; no fan/organizer/admin observes any of it	cloud-provisioning/docs/runbooks/billing-export.md
gke-gateway-infrastructure	OUT:design-doc		high	6 requirements define GKE Gateway API resources (listeners, HTTPRoute, GatewayClass, cross-namespace routing, cert annotation, policy attachment); no fan/organizer/admin observes any of it	cloud-provisioning/docs/decisions/gke-gateway-infrastructure.md
rpc-auth-scoping	NEEDS_HUMAN		low	1 of 3 requirements is OUT (internal JWT-match helper location convention); the 2 user_id-convention requirements are cross-cutting over every per-user RPC handler with no single usecase/route target	Cross-cutting RPC-auth convention needs a vocabulary decision (e.g. a dedicated adapter/interceptor kind)
welcome-dashboard-preview	KEEP	components/infrastructure/ui/route/welcome	high	The single requirement (with 6 scenarios) matches the /welcome route in vocabulary	
interceptor-chain-ordering	OUT:design-doc		high	Both requirements define backend Connect-RPC interceptor registration order and its documentation; no fan/organizer/admin observes any of it	backend/docs/interceptor-ordering.md (or inline code comments per requirement 2)
infra	OUT:design-doc		high	Both requirements are Kustomize/ArgoCD conventions for KEDA-managed Deployment replica counts; no fan/organizer/admin observes any of it	cloud-provisioning/docs/decisions/keda-replica-management.md
