change	old_spec	old_req_name	disposition	design_section	delta_action	proposal_action	note
2026-06-17-prod-cost-optimization	argocd-gateway-deployment	Prod overlay minimizes Argo CD Pod count	OUT:design-doc	Decisions §2	deleted-file+dir	removed-modified-capability	added replicas:0 comment-documentation requirement and no-HA-SLA note to Decision 2
2026-06-17-prod-cost-optimization	argocd-gateway-deployment	dev overlay is unaffected	OUT:design-doc	already-covered	deleted-file+dir	removed-modified-capability	Decision 2's option B (prod-only patch, dev unaffected) already covers this
2026-06-17-prod-cost-optimization	billing-export-infrastructure	BigQuery dataset for GCP Billing Export	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	Decision 4's dataset code sample already covers location/description
2026-06-17-prod-cost-optimization	billing-export-infrastructure	IAM binding for billing export service account	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	Decision 4's DatasetIamMember sample already covers this
2026-06-17-prod-cost-optimization	billing-export-infrastructure	Runbook documents the Console step to enable billing export	OUT:runbook	already-covered	deleted-file+dir	removed-new-capability	Decision 4's 7-step runbook list already covers this
2026-06-17-prod-cost-optimization	billing-export-infrastructure	Detailed usage cost export is preferred over Standard-only	OUT:design-doc	Decisions §4	deleted-file+dir	removed-new-capability	added Detailed-export rationale (per-resource attribution) to Decision 4's runbook list
2026-06-17-prod-cost-optimization	billing-export-infrastructure	Sample analysis SQL is provided	OUT:runbook	Decisions §4	deleted-file+dir	removed-new-capability	added sample daily SKU breakdown SQL mention to Decision 4
2026-06-17-prod-cost-optimization	otel-collector-deployment	Filter rule scope is documented in the ConfigMap	OUT:runbook	Decisions §1	removed-block	none	added ConfigMap comment/free-tier-reference requirement to Decision 1
2026-06-17-prod-cost-optimization	otel-collector-deployment	Metric ingest volume is observable	OUT:runbook	already-covered	removed-block	none	Risks section already references bytes_ingested before/after comparison
2026-02-22-atlas-operator-migration	atlas-operator	Atlas Operator SHALL be installed in the GKE cluster	OUT:runbook	already-covered	deleted-file+dir	removed-new-capability	Decision 1 already covers Helm install of the Operator
2026-02-22-atlas-operator-migration	atlas-operator	Migrations SHALL be stored as ConfigMap	OUT:runbook	already-covered	deleted-file+dir	removed-new-capability	Decision 1 and Decision 3's structure already cover ConfigMap + atlas.sum
2026-02-22-atlas-operator-migration	atlas-operator	AtlasMigration CRD SHALL connect as postgres user	OUT:runbook	already-covered	deleted-file+dir	removed-new-capability	Decision 2 already covers postgres-user password auth via ESO
2026-02-22-atlas-operator-migration	atlas-operator	Migrations SHALL create the app schema and grant permissions	OUT:runbook	Decisions §1	deleted-file+dir	removed-new-capability	added bootstrap-migration content (schema, grants, default privileges) to Decision 1
2026-02-22-atlas-operator-migration	cloud-sql-connector	Standard Connection for Local	OUT:runbook	Decisions §7	removed-block	none	new Decision 7 covers DATABASE_SCHEMA env var driving search_path incl. local default
2026-02-22-atlas-operator-migration	cloud-sql-connector	Database schema SHALL be configurable via environment variable	OUT:runbook	Decisions §7	removed-block	none	new Decision 7 covers the DATABASE_SCHEMA env var contract
2026-02-22-atlas-operator-migration	continuous-delivery	ArgoCD SHALL sync Atlas migration resources from backend repo	OUT:runbook	Decisions §3	deleted-file+dir	removed-modified-capability	added ArgoCD Application target namespace detail to Decision 3
2026-02-22-atlas-operator-migration	continuous-delivery	Migration sync wave SHALL precede application deployment	OUT:runbook	already-covered	deleted-file+dir	removed-modified-capability	Decision 6 already covers sync-wave ordering
2026-02-22-atlas-operator-migration	database	Application data SHALL reside in a dedicated schema	OUT:design-doc	Decisions §7	removed-block	none	new Decision 7 covers app schema isolation via search_path
