change	old_spec	old_req_name	disposition	design_section	delta_action	proposal_action	note
2026-03-19-frontend-entity-test-coverage	entity-test-coverage	isHypeMatched exhaustive coverage	OUT:lint	already-covered	deleted-file+dir	removed-new-capability	Decision 2 (table-driven tests) already names isHypeMatched and the 12-combination it.each pattern
2026-03-19-frontend-entity-test-coverage	entity-test-coverage	hasFollow boundary cases	OUT:lint	Decisions §4	deleted-file+dir	removed-new-capability	added new Decision 4 covering boundary-case gaps not previously named in design.md
2026-03-19-frontend-entity-test-coverage	entity-test-coverage	normalizeStep full legacy mapping	OUT:lint	already-covered	deleted-file+dir	removed-new-capability	Decision 2 already names normalizeStep and the legacy-value/gap coverage
2026-03-19-frontend-entity-test-coverage	entity-test-coverage	translationKey coverage	OUT:lint	already-covered	deleted-file+dir	removed-new-capability	Context already names translationKey as the zero-coverage module driving this change
2026-03-19-frontend-entity-test-coverage	entity-test-coverage	codeToHome boundary cases	OUT:lint	Decisions §4	deleted-file+dir	removed-new-capability	added new Decision 4 covering boundary-case gaps not previously named in design.md
2026-03-19-frontend-entity-test-coverage	entity-test-coverage	bytesToHex zero-padding	OUT:lint	Decisions §4	deleted-file+dir	removed-new-capability	added new Decision 4 covering boundary-case gaps not previously named in design.md
2026-03-19-frontend-entity-test-coverage	entity-test-coverage	bytesToDecimal multi-byte	OUT:lint	Decisions §4	deleted-file+dir	removed-new-capability	added new Decision 4 covering boundary-case gaps not previously named in design.md
2026-03-19-frontend-entity-test-coverage	entity-test-coverage	uuidToFieldElement robustness	OUT:lint	Decisions §4	deleted-file+dir	removed-new-capability	added new Decision 4 covering boundary-case gaps not previously named in design.md
2026-03-19-frontend-entity-test-coverage	entity-test-coverage	artistHue empty string	OUT:lint	Decisions §4	deleted-file+dir	removed-new-capability	added new Decision 4 covering boundary-case gaps not previously named in design.md
2026-03-19-frontend-entity-test-coverage	entity-test-coverage	artistHueFromColorProfile dominantHue zero	OUT:lint	Decisions §4	deleted-file+dir	removed-new-capability	added new Decision 4 covering boundary-case gaps not previously named in design.md
2026-03-19-frontend-entity-test-coverage	entity-test-coverage	HYPE_TIERS completeness	OUT:lint	already-covered	deleted-file+dir	removed-new-capability	Decision 3 (structural assertion) already names HYPE_TIERS completeness
2026-03-19-frontend-entity-test-coverage	entity-test-coverage	HYPE_ORDER and LANE_ORDER completeness	OUT:lint	already-covered	deleted-file+dir	removed-new-capability	Decision 3 (structural assertion) already names HYPE_ORDER/LANE_ORDER completeness
2026-03-09-add-schema-lint	schema-lint	SERIAL and BIGSERIAL detection	OUT:lint	already-covered	removed-block	removed-new-capability	Decision 2's six-rule table already documents this rule
2026-03-09-add-schema-lint	schema-lint	Bare TIMESTAMP detection	OUT:lint	already-covered	removed-block	removed-new-capability	Decision 2's six-rule table already documents this rule
2026-03-09-add-schema-lint	schema-lint	Audit column detection	OUT:lint	already-covered	removed-block	removed-new-capability	Decision 2's six-rule table already documents this rule
2026-03-09-add-schema-lint	schema-lint	VARCHAR detection	OUT:lint	already-covered	removed-block	removed-new-capability	Decision 2's six-rule table already documents this rule
2026-03-09-add-schema-lint	schema-lint	COMMENT ON TABLE coverage	OUT:lint	already-covered	removed-block	removed-new-capability	Decision 2's six-rule table already documents this rule
2026-03-09-add-schema-lint	schema-lint	COMMENT ON COLUMN coverage	OUT:lint	already-covered	removed-block	removed-new-capability	Decision 2's six-rule table already documents this rule
2026-03-09-add-schema-lint	schema-lint	Makefile integration	OUT:lint	already-covered	removed-block	removed-new-capability	Decision 3 (make check integration) already covers this
2026-03-09-add-schema-lint	schema-lint	CI integration	OUT:lint	already-covered	removed-block	removed-new-capability	Decision 4 (CI lint.yml paths-filter) already covers this
2026-03-09-add-schema-lint	schema-lint	Comment-line exclusion	OUT:lint	already-covered	removed-block	removed-new-capability	Risks/Trade-offs first bullet already covers comment-line grep exclusion
