change	old_spec	old_req_name	disposition	design_section	delta_action	proposal_action	note
2026-03-13-improve-css-design	cube-css-architecture	CUBE CSS layer ordering via `@layer`	OUT:lint	Decisions §2	removed-block	none	added stylelint (cube/require-layer) enforcement note to Decision 2
2026-03-13-improve-css-design	cube-css-architecture	CSS entry point at `src/styles/main.css`	OUT:lint	already-covered	removed-block	none	Decision 1 already covers main.ts import + import order
2026-03-13-improve-css-design	cube-css-architecture	Design tokens in `tokens.css` as plain CSS custom properties	OUT:lint	already-covered	removed-block	none	Decision 1/2 + Goals already state tokens.css holds plain custom properties, no framework token system
2026-03-13-improve-css-design	cube-css-architecture	Browser reset in `reset.css` using `:where()` for zero specificity	OUT:lint	already-covered	removed-block	none	Decision 5 already has the full :where() reset code and rationale
2026-03-13-improve-css-design	cube-css-architecture	Global layer for base element styling	OUT:lint	already-covered	removed-block	none	Decision 6 already covers base typography/elements/dark theme/view transitions
2026-03-13-improve-css-design	cube-css-architecture	Composition layer for layout primitives	OUT:lint	Decisions §7	removed-block	none	added no-visual-properties rule (cube/no-visual-in-composition) to Decision 7
2026-03-13-improve-css-design	cube-css-architecture	Block layer for component-scoped styles	OUT:lint	Decisions §1	removed-block	none	added one-block-per-file/max-lines/scope conventions to Decision 1
2026-03-13-improve-css-design	cube-css-architecture	Exception layer for state deviations via `data-*` attributes	OUT:lint	Decisions §9 (new)	removed-block	none	no prior content on exception layer; added new Decision 9
2026-03-13-improve-css-design	cube-css-architecture	Spacing controlled by parent, not child	OUT:lint	already-covered	removed-block	none	Decision 4 already covers parent-controls-gap / no child margin / fluid padding
2026-03-13-improve-css-design	cube-css-architecture	No TailwindCSS dependency	OUT:design-doc	already-covered	removed-block	none	Decision 3 (phased removal) + Goals already cover final no-Tailwind state
2026-03-13-improve-css-design	modern-css-platform	CSS `@layer` for cascade management	OUT:design-doc	Decisions §2	removed-block	none	added block-wins-over-utility-without-!important note to Decision 2
2026-03-13-improve-css-design	modern-css-platform	CSS `@scope` for component isolation	OUT:design-doc	Decisions §1	removed-block	none	added nested-scope-limiting (@scope(parent) to (child)) note to Decision 1
2026-03-13-improve-css-design	modern-css-platform	No viewport media queries for component responsiveness	OUT:design-doc	Decisions §10 (new)	removed-block	none	no prior content on container vs viewport queries; added new Decision 10
2026-03-10-automate-dev-deployment	argocd-image-automation	Image Updater monitors container registry	OUT:delete	already-covered	deleted-file+dir	removed-new-capability	Decision 1 (how it works) + Decision 4 (30s interval) already cover this
2026-03-10-automate-dev-deployment	argocd-image-automation	In-cluster parameter override for dev	OUT:delete	already-covered	deleted-file+dir	removed-new-capability	Decision 1 + Decision 3 already cover parameter-override mechanism
2026-03-10-automate-dev-deployment	argocd-image-automation	Parameter override recovery after Application recreation	OUT:delete	already-covered	deleted-file+dir	removed-new-capability	Risk 1 already covers re-detection/re-apply within 30s
2026-03-10-automate-dev-deployment	argocd-image-automation	Production deployments remain manual	OUT:delete	already-covered	deleted-file+dir	removed-new-capability	Decision 3 + Risk 4 already cover prod having no ImageUpdater CR
2026-03-10-automate-dev-deployment	argocd-image-automation	Image pull policy enforcement	OUT:delete	already-covered	deleted-file+dir	removed-new-capability	Decision 5 already covers imagePullPolicy: Always
2026-03-10-automate-dev-deployment	argocd-image-automation	Multiple image support	OUT:delete	already-covered	deleted-file+dir	removed-new-capability	Migration Plan Phase 2 CR example already lists both backend and frontend images
2026-03-10-automate-dev-deployment	argocd-image-automation	Rollback capability	OUT:delete	already-covered	deleted-file+dir	removed-new-capability	Rollback Strategy section already covers ArgoCD UI rollback + argocd app set pin
2026-03-10-automate-dev-deployment	argocd-image-automation	Failure handling	OUT:delete	Risks / Trade-offs	deleted-file+dir	removed-new-capability	no prior content on GAR/ArgoCD API failure handling; added new Risk 5
2026-05-14-prod-k8s-manifests	prod-k8s-manifests	Prod cluster SHALL run a full ArgoCD Application set matching dev's structure	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	D1 + D6 already cover the 14-Application set and sync-wave matching
2026-05-14-prod-k8s-manifests	prod-k8s-manifests	Every prod namespace under `k8s/namespaces/` SHALL have a `prod/` overlay	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	D1 + Context already state the 10 missing prod overlays are authored
2026-05-14-prod-k8s-manifests	prod-k8s-manifests	Prod overlays SHALL diverge from dev only by ESC secret refs, hostnames, ArgoCD project labels, and replica counts	OUT:design-doc	Decisions §D2	deleted-file+dir	removed-new-capability	added ArgoCD project labels/metadata bullet to D2's limited-patch list (replica counts already in D8)
2026-05-14-prod-k8s-manifests	prod-k8s-manifests	Every Pod template in prod overlays SHALL include the gke-spot nodeSelector	OUT:lint	already-covered	deleted-file+dir	removed-new-capability	D7 already covers the lint-k8s dev+prod render and check-spot-nodeselector.sh
2026-05-14-prod-k8s-manifests	prod-k8s-manifests	Prod Gateway SHALL bind to the existing api-gateway-static-ip and serve api./auth. hostnames	OUT:design-doc	Decisions §D3	deleted-file+dir	removed-new-capability	added HTTPRoute backend routing targets (backend Service, zitadel-web/zitadel-api path split) to D3
2026-05-14-prod-k8s-manifests	prod-k8s-manifests	Prod cluster SHALL opt application workloads into GMP via per-workload PodMonitoring CRDs	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	D5 already covers the backend/zitadel PodMonitoring opt-in set and keep-rule categories
2026-05-14-prod-k8s-manifests	zitadel-self-hosted-deployment	Self-Hosted Zitadel Runtime in Each Environment Cluster	OUT:design-doc	Decisions §D4	deleted-file+dir	removed-modified-capability	added PG18/v4.11.0 version constraint and env/cluster/issuer mapping to D4
2026-02-22-cloud-sql-migration	database	Schema migrations MUST be applied before serving traffic	OUT:runbook	already-covered	deleted-file+dir	removed-modified-capability	Decision 3 (InitializeApp sequence) already covers this exactly
2026-02-22-cloud-sql-migration	database-migration	The system MUST apply pending database migrations on startup	OUT:design-doc	Decisions §1	deleted-file+dir	removed-new-capability	added goose startup version-check behavior (empty/up-to-date/partial db) to Decision 1
2026-02-22-cloud-sql-migration	database-migration	The system MUST prevent concurrent migration execution	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	Decision 4 already covers the PostgreSQL advisory lock
2026-02-22-cloud-sql-migration	database-migration	The system MUST fail startup on migration error	OUT:design-doc	Risks / Trade-offs	deleted-file+dir	removed-new-capability	added file-name/SQL logging, lock release, non-zero exit to the failed-migration risk item
2026-02-22-cloud-sql-migration	database-migration	The system MUST embed migration files in the binary	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	Decision 5 already covers go:embed
2026-03-17-frontend-entity-layer	frontend-entity-layer	Artist entity	OUT:design-doc	Decisions §2	removed-block	none	added Artist/Fanart field shapes to Decision 2
2026-03-17-frontend-entity-layer	frontend-entity-layer	FollowedArtist entity	OUT:design-doc	Decisions §2	removed-block	none	added FollowedArtist field shape + Hype string union values to Decision 2
2026-03-17-frontend-entity-layer	frontend-entity-layer	Concert entity	OUT:design-doc	already-covered	removed-block	none	Decision 2 (naming table) + Decision 4 (re-export) already cover Concert/DateGroup/LaneType/HypeLevel
2026-03-17-frontend-entity-layer	frontend-entity-layer	Single mapping point	OUT:design-doc	already-covered	removed-block	none	Goals bullet 'Proto-to-entity mapping happens once, in service clients' already states this
2026-03-15-add-component-smoke-tests	component-smoke-tests	Component mount smoke tests	OUT:delete	already-covered	deleted-file+dir	removed-new-capability	D1/D2/D4 already cover createFixture mounting, single data-driven file, dna-orb exclusion
2026-03-15-add-component-smoke-tests	component-smoke-tests	DI mock registry for smoke tests	OUT:delete	already-covered	deleted-file+dir	removed-new-capability	D3 + Risks already cover inline shared DI stubs and fail-fast on missing token
