change	old_spec	old_req_name	disposition	design_section	delta_action	proposal_action	note
2026-05-16-prepare-prod-service-in	atlas-operator	Backend repository SHALL host an Atlas migration prod overlay	OUT:runbook	Decisions D6	deleted-file+dir	removed-modified-capability	
2026-05-16-prepare-prod-service-in	gcp-cost-guardrails	Project Billing Budget Alert	OUT:runbook	Decisions D11	deleted-file+dir	removed-modified-capability	
2026-05-16-prepare-prod-service-in	identity-management	Maintain Google OAuth Client in Prod Infrastructure	OUT:runbook	Decisions D12	removed-block	none	bullet kept (Manage OIDC Application still present), trimmed sibling-add text
2026-05-16-prepare-prod-service-in	prod-environment-bootstrap	Prod backend ConfigMaps SHALL reference the mainnet ticket SBT contract	OUT:runbook	already-covered	deleted-file+dir	removed-modified-capability	content already in D10/R4
2026-05-16-prepare-prod-service-in	prod-environment-bootstrap	Prod VAPID public key SHALL match the GSM-stored private key	OUT:runbook	already-covered	deleted-file+dir	removed-modified-capability	content already in D9 and Migration Plan Phase 6
2026-05-16-prepare-prod-service-in	prod-environment-bootstrap	Prod blockchain ESC values SHALL reference mainnet	OUT:runbook	Decisions D13	deleted-file+dir	removed-modified-capability	
2026-05-16-prepare-prod-service-in	prod-environment-bootstrap	Prod admin Google sub SHALL be issued by the prod OAuth client	OUT:runbook	Decisions D14	deleted-file+dir	removed-modified-capability	
2026-05-16-prepare-prod-service-in	prod-image-pipeline	Prod container images SHALL be sourced exclusively from the prod project's Artifact Registry	OUT:runbook	already-covered	removed-block	none	content already in Context/Goals and D4
2026-05-16-prepare-prod-service-in	prod-image-pipeline	Prod cluster service accounts SHALL NOT hold cross-project Artifact Registry IAM grants	OUT:runbook	already-covered	removed-block	none	content already in D4 and R2
2026-05-16-prepare-prod-service-in	prod-image-pipeline	Prod kustomize overlays SHALL pin image URIs to prod-AR paths	OUT:runbook	Decisions D5	removed-block	none	
2026-03-27-enhance-backend-observability	backend-otel-instrumentation	External HTTP client tracing via otelhttp transport	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	content already in D1/D2
2026-03-27-enhance-backend-observability	backend-otel-instrumentation	Zitadel gRPC client tracing via otelgrpc	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	content already in D3
2026-03-27-enhance-backend-observability	backend-otel-instrumentation	UseCase spans for CPU-intensive business logic	OUT:design-doc	Decisions D4	deleted-file+dir	removed-new-capability	added span attribute names
2026-03-27-enhance-backend-observability	backend-otel-instrumentation	Application metrics	OUT:design-doc	Decisions D6	deleted-file+dir	removed-new-capability	added note on automatic otelhttp histogram vs custom instrument
2026-03-27-enhance-backend-observability	backend-otel-instrumentation	Trace context preservation in deferred operations	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	content already in D8
2026-03-27-enhance-backend-observability	otel-sdk-configuration	Environment-aware trace sampling	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	content already in D5
2026-03-27-enhance-backend-observability	otel-sdk-configuration	Enriched resource attributes	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	content already in D5
2026-03-27-enhance-backend-observability	otel-sdk-configuration	Explicit text map propagator	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	content already in D5
2026-03-27-enhance-backend-observability	otel-sdk-configuration	MeterProvider initialization	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	content already in D5 and Risks
2026-04-13-harden-test-infrastructure	frontend-testing	Vitest environment is managed by vitest, not manually	OUT:lint	already-covered	removed-block	none	content already in Decision 1
2026-04-13-harden-test-infrastructure	frontend-testing	Aurelia template module graph is contained in tests	OUT:lint	already-covered	removed-block	none	content already in Decision 2
2026-04-13-harden-test-infrastructure	frontend-testing	CE composition integration tests verify layout propagation	OUT:lint	Decisions Decision 5	removed-block	none	added readonly-mode and beamIndexMap scenarios
2026-04-13-harden-test-infrastructure	frontend-testing	Dashboard-route has integration tests	OUT:lint	already-covered	removed-block	none	content already in Decision 6
2026-04-13-harden-test-infrastructure	frontend-testing	Per-file vitest environment annotations optimize execution	OUT:lint	already-covered	removed-block	none	content already in Decision 7 Phase A
2026-04-13-harden-test-infrastructure	layout-assertions	E2E selectors use data-testid for stability	OUT:lint	already-covered	deleted-file+dir	removed-modified-capability	content already in Decision 3
