change	old_spec	old_req_name	disposition	design_section	delta_action	proposal_action	note
2026-09-22-automate-dependency-updates	dependency-update-automation	Dependency updates are proposed automatically in every repository	OUT:runbook	Decisions D1	deleted-file+dir	removed-new-capability	added the eleven-axis enumeration and the known-gap-with-named-control generalization to D1
2026-09-22-automate-dependency-updates	dependency-update-automation	Version-coupled dependencies are proposed as a single unit	OUT:runbook	already-covered	deleted-file+dir	removed-new-capability	D3 already covers the constraint-based coupling test, the coupled-set table, and workbox/vite upstream coverage
2026-09-22-automate-dependency-updates	dependency-update-automation	A single logical version is updated in every location it appears	OUT:runbook	already-covered	deleted-file+dir	removed-new-capability	D4/D5/D12 already cover Go and Node fan-out elimination, the exact Playwright pin, and the precision-projection rule
2026-09-22-automate-dependency-updates	dependency-update-automation	Updates automerge only when the CI gate covers their risk	OUT:runbook	Decisions D14	deleted-file+dir	removed-new-capability	added the minor/patch-automerges-major-does-not baseline to D14; per-family exclusions already covered by D5/D6/D9/D16
2026-09-22-automate-dependency-updates	dependency-update-automation	Releases are not adopted until they have aged	OUT:runbook	Decisions D14	deleted-file+dir	removed-new-capability	added fail-closed handling for an unresolvable publication timestamp and the sole vulnerability exemption to D14
2026-09-22-automate-dependency-updates	dependency-update-automation	Maintained upstream configuration is reused rather than reimplemented	OUT:runbook	already-covered	deleted-file+dir	removed-new-capability	D3 and D14 already cover preset-first reasoning, the drift rationale, and where local rules are reserved
2026-09-22-automate-dependency-updates	dependency-update-automation	Third-party GitHub Actions are pinned to immutable references	OUT:runbook	Decisions D15	deleted-file+dir	removed-new-capability	added the liverty-music-organization exemption to D15
2026-09-22-automate-dependency-updates	dependency-update-automation	This project's own build outputs are excluded from automated updates	OUT:runbook	already-covered	deleted-file+dir	removed-new-capability	D7 already covers both the schema SDKs and the production image tags, their distinct exclusion reasons, and the visible-not-silent disabled-dependency treatment
2026-09-22-automate-dependency-updates	dependency-update-automation	Proposal volume is bounded and scheduled	OUT:runbook	already-covered	deleted-file+dir	removed-new-capability	D10 already covers the weekly/monthly schedule, prConcurrentLimit cap, and the security-advisory exemption
2026-09-22-automate-dependency-updates	ci-optimization	Every defined Playwright project is executed by CI	OUT:delete	Risks / Trade-offs	deleted-file+dir	removed-modified-capability	added that webkit-repro/chromium-control were previously invoked by no CI job and that page-help-sheet-webkit.spec.ts read as covered by webkit-repro while having zero coverage, to the WebKit risk bullet
2026-09-22-automate-dependency-updates	ci-optimization	cloud-provisioning previews infrastructure changes on pull requests	OUT:delete	already-covered	deleted-file+dir	removed-modified-capability	D6 already covers the trigger-paths control, the bot/fork exclusion mechanism, and the preview-vs-apply table
2026-09-22-automate-dependency-updates	ci-optimization	cloud-provisioning CI runs its test suite	OUT:delete	already-covered	deleted-file+dir	removed-modified-capability	D6's closing paragraph already covers the lint-ts-only gap and the added test job
2026-09-22-automate-dependency-updates	ci-optimization	Automated merge is enabled through managed repository configuration	OUT:delete	Decisions D11	deleted-file+dir	removed-modified-capability	added the github.Repository-vs-GitHubRepositoryComponent placement detail, branch-protection parity, and merge-strategy detail to D11
