change	old_spec	old_req_name	disposition	design_section	delta_action	proposal_action	note
2026-05-16-enable-prod-ar-immutable-tags	prod-image-tag-immutability	Non-dev Artifact Registry Docker repositories SHALL enforce tag immutability at the registry API level	OUT:runbook	already-covered	deleted-file+dir	removed-new-capability	D1/D2/R1 already cover the fail-secure conditional and forward-only carve-out
2026-05-16-enable-prod-ar-immutable-tags	prod-image-tag-immutability	Prod kustomize overlays SHALL pin image URIs to semantic version tags	OUT:runbook	Decisions D1	deleted-file+dir	removed-new-capability	added regex build-metadata exclusion and prod-image-pipeline relationship to D1
2026-05-16-enable-prod-ar-immutable-tags	prod-image-tag-immutability	Prod workload Deployments and CronJobs SHALL carry the app.kubernetes.io/version Recommended Label, propagated to the Pod template	OUT:runbook	Decisions D5	deleted-file+dir	removed-new-capability	added CronJob vs Deployment propagation paths and base/dev exclusion to D5
2026-05-16-enable-prod-ar-immutable-tags	prod-image-tag-immutability	A runbook SHALL document the prod image tag pinning policy	OUT:runbook	Migration Plan	deleted-file+dir	removed-new-capability	extended step 1 to describe the runbook's required contents
2026-03-15-css-modern-patterns	modern-css-platform	CSS scroll snap for bottom sheet dismiss gestures	OUT:design-doc	Decisions Decision 1	removed-block	none	added non-dismissable/popover=manual behavior to Decision 1
2026-03-15-css-modern-patterns	modern-css-platform	No JS-to-CSS variable bridge custom attributes	OUT:design-doc	already-covered	removed-block	none	Decision 4 already covers deletion + the computed-attribute carve-out
2026-03-15-css-modern-patterns	modern-css-platform	Scroll-driven Animations for scroll-linked effects	OUT:design-doc	Decisions Decision 5 (new)	removed-block	none	promoted from a Goals bullet + Risk note to its own Decision 5
2026-03-30-improve-consumer-observability	consumer-poison-queue-alerting	Poison Queue consumer emits ERROR logs	OUT:runbook	Decisions Decision 2	deleted-file+dir	removed-new-capability	added message UUID field and scale-to-zero durable-consumer drain behavior to Decision 2
2026-03-30-improve-consumer-observability	consumer-poison-queue-alerting	NATS POISON stream lag alert	OUT:runbook	Decisions Decision 3	deleted-file+dir	removed-new-capability	added 5-minute threshold and shared notification-channel/rate-limit detail to Decision 3
2026-04-05-private-google-access	private-google-access	Private DNS zone for googleapis.com	OUT:runbook	already-covered	removed-block	none	Decisions 1-2 already cover VIP choice and zone structure; adjacent superseded requirement (not in batch) left untouched
