change	old_spec	old_req_name	disposition	design_section	delta_action	proposal_action	note
2026-03-26-refine-frontend-testing	frontend-testing	Global fixture cleanup awaits all stop() calls	OUT:lint	already-covered	removed-block	none	Decision 11 already has the exact Promise.all afterEach pattern
2026-03-26-refine-frontend-testing	frontend-testing	All afterEach hooks prevent test state pollution	OUT:lint	already-covered	removed-block	none	Decision 12 already lists the four afterEach rules and files to fix
2026-03-26-refine-frontend-testing	frontend-testing	Mock helpers return typed Partial interfaces	OUT:lint	already-covered	removed-block	none	Decision 13 already names the three mock helpers and required typing
2026-03-26-refine-frontend-testing	frontend-testing	No deprecated Aurelia testing APIs are used	OUT:lint	already-covered	removed-block	none	Decision 6 + audit findings already cover the single tearDown() occurrence
2026-03-26-refine-frontend-testing	frontend-testing	Component integration tests use createFixture with official assertion helpers	OUT:lint	already-covered	removed-block	none	Decisions 1-4/7/8 plus the JSDOM risk already cover this
2026-03-26-refine-frontend-testing	frontend-testing	Smoke tests use meaningful DOM assertions	OUT:lint	already-covered	removed-block	none	Decision 6 before/after example already demonstrates this
2026-03-26-refine-frontend-testing	frontend-testing	Bottom nav bar has component integration tests	OUT:lint	Decisions §14	removed-block	none	added new Decision 14 listing per-component coverage, not previously in design.md
2026-03-26-refine-frontend-testing	frontend-testing	Snack bar service logic is tested	OUT:lint	Decisions §14	removed-block	none	added under new Decision 14
2026-03-26-refine-frontend-testing	frontend-testing	User home selector has component integration tests	OUT:lint	Decisions §14	removed-block	none	added under new Decision 14
2026-03-26-refine-frontend-testing	frontend-testing	Post-signup dialog has component integration tests	OUT:lint	Decisions §14	removed-block	none	added under new Decision 14
2026-03-26-refine-frontend-testing	frontend-testing	Error banner has component integration tests	OUT:lint	Decisions §14	removed-block	none	added under new Decision 14
2026-03-26-refine-frontend-testing	frontend-testing	Settings route has component integration tests	OUT:lint	Decisions §14	removed-block	none	added under new Decision 14
2026-03-26-refine-frontend-testing	frontend-testing	Concert highway CE has component integration tests	OUT:lint	Decisions §14	removed-block	none	added under new Decision 14
2026-03-26-refine-frontend-testing	frontend-testing	Welcome route has component integration tests	OUT:lint	Decisions §14	removed-block	none	added under new Decision 14
2026-03-26-refine-frontend-testing	frontend-testing	Value converter tests include fixture integration tests	OUT:lint	already-covered	removed-block	none	Decision 9 (unit+integration) already covers the pattern
2026-02-15-frontend-k8s-deployment	frontend-hosting	Container image build pipeline	OUT:runbook	already-covered	deleted-file+dir	removed-new-capability	D2 (multi-stage Dockerfile) + D5 (GitHub Actions workflow) already cover this
