change	old_spec	old_req_name	disposition	design_section	delta_action	proposal_action	note
2026-02-25-aurelia-best-practice	aurelia-reactivity	Watch-based reactive observation	OUT:lint	already-covered	deleted-file+dir	removed-new-capability	Decision 3 already covers @watch rationale (cross-service reactive flows)
2026-02-25-aurelia-best-practice	aurelia-reactivity	Computed property caching	OUT:lint	already-covered	deleted-file+dir	removed-new-capability	Decision 3 already covers @computed rationale (expensive getters)
2026-02-25-aurelia-best-practice	aurelia-reactivity	Batched multi-property updates	OUT:lint	Decisions §9	deleted-file+dir	removed-new-capability	added new Decision 9 for batch() on multi-property service mutations, incl. optimistic-UI exclusion
2026-02-25-aurelia-best-practice	aurelia-reactivity	Observable for side-effect properties	OUT:lint	Decisions §10	deleted-file+dir	removed-new-capability	added new Decision 10 for @observable on imperative side-effect properties
2026-02-25-aurelia-best-practice	aurelia-template-optimization	Keyed list rendering	OUT:lint	Decisions §11	deleted-file+dir	removed-new-capability	added new Decision 11 for key.bind on every repeat.for
2026-02-25-aurelia-best-practice	aurelia-template-optimization	Switch-based multi-branch conditionals	OUT:lint	Decisions §12	deleted-file+dir	removed-new-capability	added new Decision 12 for switch.bind at 3+ chained if.bind branches
2026-02-25-aurelia-best-practice	aurelia-template-optimization	Show binding for frequently toggled elements	OUT:lint	Decisions §13	deleted-file+dir	removed-new-capability	added new Decision 13 for show.bind on elements toggled >once/session
2026-02-25-aurelia-best-practice	aurelia-template-optimization	Class binding syntax for conditional CSS classes	OUT:lint	already-covered	deleted-file+dir	removed-new-capability	Decision 2 already covers .class binding over string interpolation
2026-02-25-aurelia-best-practice	aurelia-template-optimization	Debounce on search inputs	OUT:lint	Decisions §14	deleted-file+dir	removed-new-capability	added new Decision 14 separating immediate UI feedback from the debounced API call
2026-02-25-aurelia-best-practice	aurelia-template-optimization	Throttle binding behavior on continuous event handlers	OUT:lint	Decisions §15	deleted-file+dir	removed-new-capability	added new Decision 15 for & throttle:16 on continuous event handlers
2026-02-25-aurelia-best-practice	aurelia-template-optimization	Date value converter	OUT:lint	already-covered	deleted-file+dir	removed-new-capability	Decision 6 already covers the single DateValueConverter with format param
2026-02-25-aurelia-best-practice	aurelia-template-optimization	Route title configuration	OUT:lint	Decisions §16	deleted-file+dir	removed-new-capability	added new Decision 16 for route title incl. not-found fallback
2026-02-25-aurelia-best-practice	design-system	View Transitions as route animation system	OUT:design-doc	Decisions §4	removed-block	none	extended Decision 4 with pseudo-elements/tokens/@supports-not gating; design-system delta file not deleted (Design Token Definition MODIFIED req remains); proposal Modified Capabilities bullet reworded to match remaining token-only delta
2026-02-25-aurelia-best-practice	design-system	Container Query infrastructure	OUT:lint	Decisions §5	removed-block	none	extended Decision 5 with container-type: inline-size infra + @supports fallback
2026-02-25-aurelia-best-practice	modern-css-platform	Container Queries for component-level responsive design	OUT:design-doc	Decisions §5	deleted-file+dir	removed-new-capability	same Decision 5 extension as design-system's Container Query infrastructure row
2026-02-25-aurelia-best-practice	modern-css-platform	View Transitions API for route animations	OUT:design-doc	Decisions §4	deleted-file+dir	removed-new-capability	same Decision 4 extension as design-system's View Transitions row (added reduced-motion detail)
2026-02-25-aurelia-best-practice	modern-css-platform	CSS `:has()` selector for state-based styling	OUT:design-doc	Decisions §7	deleted-file+dir	removed-new-capability	added new Decision 7 for :has() over JS class toggling
2026-02-25-aurelia-best-practice	modern-css-platform	CSS Logical Properties	OUT:design-doc	Decisions §8	deleted-file+dir	removed-new-capability	added new Decision 8 for logical properties, opportunistic migration
2026-03-06-introduce-stylelint	css-linting	Stylelint enforces modern color functions	OUT:lint	Decisions §7	removed-block	none	added new Decision 7 for OKLCH enforcement + Tailwind theme()/var() exemption; css-linting delta file not deleted (Tailwind v4 compat req remains)
2026-03-06-introduce-stylelint	css-linting	Stylelint enforces CSS Logical Properties	OUT:lint	already-covered	removed-block	none	Decision 3 already covers the full physical-property ban
2026-03-06-introduce-stylelint	css-linting	Stylelint enforces Container Queries over viewport-width media queries	OUT:lint	already-covered	removed-block	none	Decision 5 already covers viewport-width media feature disallowance
2026-03-06-introduce-stylelint	css-linting	Stylelint prevents CSS anti-patterns	OUT:lint	Decisions §8	removed-block	none	added new Decision 8 for z-index/!important/float/ID-selector/specificity/nesting bans
2026-03-06-introduce-stylelint	css-linting	Stylelint enforces property declaration ordering	OUT:lint	already-covered	removed-block	none	Decision 4 already covers stylelint-config-clean-order grouping
2026-03-06-introduce-stylelint	css-linting	Stylelint integrated into CI pipeline	OUT:lint	already-covered	removed-block	none	Goals/Non-Goals already states zero CI config change, make lint already invokes npm run lint:css
2026-03-06-introduce-stylelint	modern-css-platform	OKLCH color enforcement	OUT:design-doc	Decisions §7	removed-block	none	same new Decision 7 as css-linting's modern-color-functions row; modern-css-platform delta file not deleted (Logical Properties MODIFIED req remains)
2026-07-27-frontend-store-cache-and-consistency	frontend-store-cache	Shared stale-while-revalidate cache primitive	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	Decisions bullet 1 (RevalidatingCache) already covers this incl. single-copy/no-double-management
2026-07-27-frontend-store-cache-and-consistency	frontend-store-cache	In-flight request coalescing	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	Decisions bullet 1 already states one in-flight promise per key
2026-07-27-frontend-store-cache-and-consistency	frontend-store-cache	Complete cache keys	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	Decisions bullet 'Cache keys must be complete' already covers listTop/listWithProximity keying
2026-07-27-frontend-store-cache-and-consistency	frontend-store-cache	Explicit invalidation on mutations	OUT:design-doc	Decisions	deleted-file+dir	removed-new-capability	added new Decisions bullet listing per-resource invalidating writes (follow/unfollow/setHype -> listByFollower, ticket mint -> listTickets, listWithProximity/listTop need none)
2026-07-27-frontend-store-cache-and-consistency	frontend-store-cache	Revalidation on route entry and PWA resume	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	Decisions bullet 'Revalidation triggers' + Risks non-destructive-swap bullet already cover this
2026-07-27-frontend-store-cache-and-consistency	frontend-store-cache	Caching scope is limited to audited read resources	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	Context's Tier 1/2/3 audit + Bounded-memory bullet's User.get carve-out already cover scope
2026-08-20-unify-workload-naming	workload-naming-convention	Workload names follow the audience-tier scheme	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	D1 already covers the <audience>-<tier> scheme and event-consumer tier
2026-08-20-unify-workload-naming	workload-naming-convention	Derived resources share the workload stem with uniform suffixes	OUT:design-doc	Decisions §D8	deleted-file+dir	removed-new-capability	added new D8 for -svc/-policy/-route/-secrets/-config stem suffixes
2026-08-20-unify-workload-naming	workload-naming-convention	GCP identities and image repositories key off the same principal	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	D2 already covers GSA/Cloud SQL IAM user/GSM key/AR repo keyed off the stem
2026-08-20-unify-workload-naming	workload-naming-convention	A canonical name mapping is the authoritative reference	OUT:design-doc	Decisions §D1	deleted-file+dir	removed-new-capability	extended D1 with the explicit old-name -> new-name mapping table
2026-08-20-unify-workload-naming	workload-naming-convention	Renames use an additive create-new then cutover then delete-old migration	OUT:runbook	already-covered	deleted-file+dir	removed-new-capability	D3 + Migration Plan D7 already cover create-new/cutover/delete-old
