change	old_spec	old_req_name	disposition	design_section	delta_action	proposal_action	note
2026-06-26-introduce-analytics-tool	analytics-consent	Analytics operates under an EU-adequacy opt-out model, not a consent gate	OUT:design-doc	already-covered	removed-block	none	Context section + Decision 7 already state the adequacy/opt-out model and privacy-policy notification
2026-06-26-introduce-analytics-tool	analytics-consent	Full non-PII catalogue is captured anonymously before identification	OUT:design-doc	already-covered	removed-block	none	Decision 7 already covers anonymous full-catalogue capture with localStorage and no account-mapped id
2026-06-26-introduce-analytics-tool	analytics-consent	Anonymous behaviour is merged into the identified profile on login	OUT:design-doc	already-covered	removed-block	none	Decision 7 already covers merge-on-login and reset() reserved for sign-out/opt-out
2026-06-26-introduce-analytics-tool	analytics-consent	Sensitive personal information is structurally excluded; minor-user legality is deferred to legal review	OUT:design-doc	Decisions §7	removed-block	none	Added missing age-bucketization / no-precise-birth-date data-minimisation detail to Decision 7
2026-06-26-introduce-analytics-tool	feature-flag-management	Feature flags require a documented description record on creation	OUT:runbook	already-covered	deleted-file+dir	removed-new-capability	Decision 9 already covers OWNER/HYPOTHESIS/KPI/KILL_DATE/ISSUE fields
2026-06-26-introduce-analytics-tool	feature-flag-management	Significant experiments evaluate flags only after `identify`	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	Decision 9 already covers post-identify evaluation rule
2026-06-26-introduce-analytics-tool	feature-flag-management	Flag evaluation always has a default value on PostHog unavailability	OUT:design-doc	Decisions §9	deleted-file+dir	removed-new-capability	Added explicit backend default-value-on-unreachable fallback behavior to Decision 9
2026-06-26-introduce-analytics-tool	feature-flag-management	Frontend bootstraps flags from the last-known persisted value	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	Decision 9 already covers localStorage bootstrap + runtime default
2026-06-26-introduce-analytics-tool	feature-flag-management	Stale flags are reviewed monthly and decided at or before the kill date	OUT:runbook	Decisions §9	deleted-file+dir	removed-new-capability	Added monthly-review criteria (KILL_DATE passed, 0%/100% >30 days) and escalation detail to Decision 9
2026-06-26-introduce-analytics-tool	product-analytics	PostHog Cloud EU is the sole product-analytics platform	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	Decision 1 + Migration Plan Phase 1 already cover this
2026-06-26-introduce-analytics-tool	product-analytics	Analytics `distinct_id` is the platform-internal `UserId`	OUT:design-doc	already-covered	deleted-file+dir	removed-new-capability	Decision 3 already covers this exactly
2026-06-26-introduce-analytics-tool	product-analytics	Event names follow `domain.action[.qualifier][.outcome]` in dot.case	OUT:lint	Decisions §4	deleted-file+dir	removed-new-capability	Added 4-segment qualifier form and lint-enforcement note to Decision 4
