old_spec	old_req_name	disposition	target_path	new_req_name	merge_group	rewrite_flags	confidence	rationale
app-error-log-alerting	Gemini client-cancelled errors classified as client error	OUT:lint					high	Still OUT:lint under corrected criterion: Error-classification convention in the Gemini infra layer's error handling interceptor (infra/ops/lint mechanics, not what the product does)
app-error-log-alerting	Infrastructure layer preserves original error types	OUT:lint					high	Still OUT:lint under corrected criterion: rdb.toAppErr error-wrapping/errors.Is convention in the database infra layer (infra/ops/lint mechanics, not what the product does)
backend-otel-instrumentation	External HTTP client tracing via otelhttp transport	OUT:design-doc					high	Still OUT:design-doc under corrected criterion: telemetry cross-cutting concern (infra/ops/lint mechanics, not what the product does)
backend-otel-instrumentation	Zitadel gRPC client tracing via otelgrpc	OUT:design-doc					high	Still OUT:design-doc under corrected criterion: telemetry cross-cutting concern (infra/ops/lint mechanics, not what the product does)
backend-otel-instrumentation	UseCase spans for CPU-intensive business logic	OUT:design-doc					high	Still OUT:design-doc under corrected criterion: telemetry cross-cutting concern naming BuildMerkleTree/FilterNewConcerts/PersistArtists (infra/ops/lint mechanics, not what the product does)
backend-otel-instrumentation	Application metrics	OUT:design-doc					high	Still OUT:design-doc under corrected criterion: telemetry cross-cutting concern (infra/ops/lint mechanics, not what the product does)
backend-otel-instrumentation	Trace context preservation in deferred operations	OUT:design-doc					high	Still OUT:design-doc under corrected criterion: telemetry cross-cutting concern (infra/ops/lint mechanics, not what the product does)
ci-optimization	Workflows declare minimum required permissions	OUT:runbook					high	Still OUT:runbook under corrected criterion: CI token permission policy (infra/ops/lint mechanics, not what the product does)
ci-optimization	Frontend CI enforces code quality gates	OUT:runbook					high	Still OUT:runbook under corrected criterion: CI quality-gate jobs (infra/ops/lint mechanics, not what the product does)
ci-optimization	Frontend CI reports coverage on PRs	OUT:runbook					high	Still OUT:runbook under corrected criterion: CI coverage-reporting mechanics (infra/ops/lint mechanics, not what the product does)
ci-optimization	Backend CI enforces format correctness	OUT:lint					high	Still OUT:lint under corrected criterion: gofmt formatting check is a lint rule (infra/ops/lint mechanics, not what the product does)
ci-optimization	Atlas migration lint runs without Atlas Cloud	OUT:runbook					high	Still OUT:runbook under corrected criterion: CI migration-lint operational constraint (infra/ops/lint mechanics, not what the product does)
ci-optimization	Benchmark workflow uses consistent Postgres version	OUT:runbook					high	Still OUT:runbook under corrected criterion: CI benchmark infra config (infra/ops/lint mechanics, not what the product does)
ci-optimization	Both repos have a CI success gate job	OUT:runbook					high	Still OUT:runbook under corrected criterion: CI branch-protection gate job (infra/ops/lint mechanics, not what the product does)
ci-optimization	Claude code review runs via a single org-wide reusable workflow	OUT:runbook					high	Still OUT:runbook under corrected criterion: Org-wide CI review workflow plumbing (infra/ops/lint mechanics, not what the product does)
ci-optimization	Claude review posts advisory inline comments on pull requests	OUT:runbook					high	Still OUT:runbook under corrected criterion: CI review-comment mechanics (infra/ops/lint mechanics, not what the product does)
ci-optimization	Branch protection gates merges on CI Success only	OUT:runbook					high	Still OUT:runbook under corrected criterion: Branch-protection policy (infra/ops/lint mechanics, not what the product does)
component-smoke-tests	Component mount smoke tests	OUT:delete					high	Still OUT:delete under corrected criterion: ; unit-test inventory (infra/ops/lint mechanics, not what the product does)
component-smoke-tests	DI mock registry for smoke tests	OUT:delete					high	Still OUT:delete under corrected criterion: ; test infrastructure (infra/ops/lint mechanics, not what the product does)
component-smoke-tests	E2E console error smoke test	OUT:delete					high	Still OUT:delete under corrected criterion: ; CI mechanics (infra/ops/lint mechanics, not what the product does)
css-state-management	Three-layer responsibility separation	OUT:lint					high	Still OUT:lint under corrected criterion: Aurelia TS/template/CSS coding convention, per spec Purpose (infra/ops/lint mechanics, not what the product does)
css-state-management	Discrete visual state via `data-*.bind`	OUT:lint					high	Still OUT:lint under corrected criterion: Aurelia TS/template/CSS coding convention, per spec Purpose (infra/ops/lint mechanics, not what the product does)
css-state-management	Parent container strategy for shared state flags	OUT:lint					high	Still OUT:lint under corrected criterion: Aurelia TS/template/CSS coding convention, per spec Purpose (infra/ops/lint mechanics, not what the product does)
css-state-management	Total `style` attribute ban in templates	OUT:lint					high	Still OUT:lint under corrected criterion: Aurelia TS/template/CSS coding convention, per spec Purpose (infra/ops/lint mechanics, not what the product does)
css-state-management	CSS `attr()` migration path	OUT:lint					high	Still OUT:lint under corrected criterion: Aurelia TS/template/CSS coding convention, per spec Purpose (infra/ops/lint mechanics, not what the product does)
