old_spec	old_req_name	disposition	target_path	new_req_name	merge_group	rewrite_flags	confidence	rationale
admin-console	Bundle isolation from the consumer SPA	OUT:design-doc					high	Vite/Rollup chunk-graph separation is a bundler technology decision; the requirement is entirely about build output shape, not observable product behavior
admin-console	Dedicated source directory with an enforced import boundary	OUT:lint					high	Automated lint/CI import-boundary check between src/ and admin/; a code organization rule, not product behavior
analytics-consent	Anonymous behaviour is merged into the identified profile on login	OUT:design-doc					high	posthog.identify()/reset() call semantics govern internal analytics-platform profile linkage; affects only internal funnels/dashboards, not anything a user sees or an API contract
apex-frontend-serving	Apex hostname SHALL be served end-to-end via the GKE Gateway with a Google-managed TLS certificate	OUT:runbook					high	GKE Gateway/Certificate Manager provisioning for the apex domain; deployment infrastructure, not product behavior
apex-frontend-serving	Apex serving SHALL route to the `fan-web-app` frontend Service via HTTPRoute hostname matching	OUT:runbook					high	Kubernetes HTTPRoute wiring between Gateway and Service; deployment mechanics, not product behavior
apex-frontend-serving	Apex serving SHALL NOT use Cloudflare Proxy on initial deploy	OUT:runbook					high	Cloudflare DNS-proxy on/off decision for TLS/streaming compatibility; deployment configuration choice
apex-frontend-serving	Apex serving prod-stack resources SHALL be `protect: true`	OUT:runbook					high	Pulumi resource-protection flag to prevent accidental destroy; operational safeguard, not product behavior
api-rate-limiting	Rate limiter interceptor placement	OUT:design-doc					high	"Chain-position of the rate-limit interceptor relative to tracing/access-log interceptors is internal wiring; the actual rate-limit values/behavior are already specified by the sibling KEPT requirements ""Per-user rate limiting"" / ""Per-IP rate limiting"" in this same spec"
api-rate-limiting	Rate limiter memory management	OUT:design-doc					high	Idle-entry eviction is an internal memory-management optimization with no externally observable difference from normal token-bucket refill behavior
api-rate-limiting	Rate limit configuration via environment variables	OUT:design-doc					high	"Env-var configurability is a deployment/config mechanism; the concrete default values it documents (100/200 authenticated, 30/60 unauthenticated) duplicate what the sibling KEPT ""Per-user""/""Per-IP rate limiting"" requirements already specify"
artist-image	Best Image Selection	KEEP	components/entity/artist	Fanart best-image selection by highest likes count	ARTIST-IMAGE-SELECT	CLASSNAME	medium	Which image is chosen as an artist's displayed logo/photo when multiple candidates exist is a data-semantics rule of the Artist entity's Fanart field, directly affecting what image a fan sees
artist-image	Fanart Proto Mapper	KEEP	components/entity/artist	Fanart proto exposes the selected best image and logo color analysis	ARTIST-IMAGE-SELECT	CLASSNAME	medium	Describes what the API response contains (single best-liked URL per fanart field, plus logo_color_profile when present) — an output contract of the Artist entity's Fanart data, not merely an internal conversion step
artist-image	Fanart Database Storage	OUT:design-doc					high	fanart/fanart_synced_at JSONB column layout on the artists table is a persistence-schema detail; clients receive the same proto Fanart fields regardless of storage shape
