old_spec	old_req_name	disposition	target_path	new_req_name	merge_group	rewrite_flags	confidence	rationale
billing-export-infrastructure	BigQuery dataset for GCP Billing Export	OUT:design-doc					high	operator-facing billing/cost-analysis tooling (BigQuery dataset, IAM, runbook, sample SQL); not the product's fan/organizer/admin API or UI
billing-export-infrastructure	IAM binding for billing export service account	OUT:design-doc					high	operator-facing billing/cost-analysis tooling (BigQuery dataset, IAM, runbook, sample SQL); not the product's fan/organizer/admin API or UI
billing-export-infrastructure	Runbook documents the Console step to enable billing export	OUT:runbook					high	operator-facing billing/cost-analysis tooling (BigQuery dataset, IAM, runbook, sample SQL); not the product's fan/organizer/admin API or UI
billing-export-infrastructure	Detailed usage cost export is preferred over Standard-only	OUT:design-doc					high	operator-facing billing/cost-analysis tooling (BigQuery dataset, IAM, runbook, sample SQL); not the product's fan/organizer/admin API or UI
billing-export-infrastructure	Sample analysis SQL is provided	OUT:runbook					high	operator-facing billing/cost-analysis tooling (BigQuery dataset, IAM, runbook, sample SQL); not the product's fan/organizer/admin API or UI
cloud-dns-infrastructure	Domain Configuration via Pulumi ESC	OUT:design-doc					high	Pulumi ESC config-sourcing decision for DNS provider credentials; infra provisioning, not product API/UI
css-linting	Stylelint enforces modern color functions	OUT:lint					high	Stylelint rule/CI wiring; CSS authoring/code-style convention enforced by tooling, not runtime product behavior
css-linting	Stylelint enforces CSS Logical Properties	OUT:lint					high	Stylelint rule/CI wiring; CSS authoring/code-style convention enforced by tooling, not runtime product behavior
css-linting	Stylelint enforces Container Queries over viewport-width media queries	OUT:lint					high	Stylelint rule/CI wiring; CSS authoring/code-style convention enforced by tooling, not runtime product behavior
css-linting	Stylelint prevents CSS anti-patterns	OUT:lint					high	Stylelint rule/CI wiring; CSS authoring/code-style convention enforced by tooling, not runtime product behavior
css-linting	Stylelint enforces property declaration ordering	OUT:lint					high	Stylelint rule/CI wiring; CSS authoring/code-style convention enforced by tooling, not runtime product behavior
css-linting	Stylelint compatible with modern CSS at-rules	OUT:lint					high	Stylelint rule/CI wiring; CSS authoring/code-style convention enforced by tooling, not runtime product behavior
css-linting	Stylelint enforces stacking context management	OUT:lint					high	Stylelint rule/CI wiring; CSS authoring/code-style convention enforced by tooling, not runtime product behavior
css-linting	Stylelint enforces accessibility media queries	OUT:lint					high	Stylelint rule/CI wiring; CSS authoring/code-style convention enforced by tooling, not runtime product behavior
css-linting	Stylelint integrated into CI pipeline	OUT:lint					high	Stylelint rule/CI wiring; CSS authoring/code-style convention enforced by tooling, not runtime product behavior
cube-css-layer-enforcement	`cube/require-layer` rejects CSS rules outside `@layer` blocks	OUT:lint					high	custom Stylelint plugin rule for @layer usage; CSS authoring convention, not runtime product behavior
cube-css-layer-enforcement	`cube/layer-order` enforces correct `@layer` declaration order	OUT:lint					high	custom Stylelint plugin rule for @layer usage; CSS authoring convention, not runtime product behavior
cube-css-modern-css-rules	`cube/prefer-vi-over-vw` recommends `vi` unit over `vw`	OUT:lint					high	custom Stylelint plugin rule for CSS authoring style; convention, not runtime product behavior
cube-css-modern-css-rules	`cube/require-container-name` enforces naming containers	OUT:lint					high	custom Stylelint plugin rule for CSS authoring style; convention, not runtime product behavior
